kode,skg,lo,hi,om,dev,roe,jb,p
AGII,1860.0,1790.0,2590.0,0.15484,0.3966,0.0322,none,8.75
AGRO,330.0,302.0,720.0,0.17040001,0.0,0.00184,hold,6.698564593301436
AKPI,940.0,920.0,1900.0,0.00907,0.5,0.0117999995,none,2.0408163265306123
ALMI,210.0,202.0,520.0,-0.14138,0.0,-0.2589,none,2.5157232704402515
AMAG,338.0,334.0,396.0,0.17875999,2.4088001,0.087790005,none,6.451612903225807
AMOR,1015.0,1000.0,1575.0,0.35539,1.1829,0.42771,strong_buy,2.608695652173913
ARNA,765.0,740.0,1080.0,0.26782,0.77709997,0.32064,buy,7.352941176470589
ARTO,2300.0,1960.0,8300.0,0.01835,0.0,0.00332,buy,5.3627760252365935
AVIA,590.0,565.0,875.0,0.23381001,0.90949994,0.14848,buy,8.064516129032258
BANK,1130.0,1110.0,1795.0,-2.23922,0.0,-0.110860005,buy,2.9197080291970803
BBMD,1925.0,1900.0,2200.0,0.57629,0.299,0.10184,none,8.333333333333334
BBYB,324.0,296.0,1180.0,-0.76834,0.0,-0.17879999,strong_buy,3.167420814479638
BHAT,486.0,484.0,1000.0,0.091400005,0.0,0.00196,none,0.38759689922480617
BJBR,1175.0,1165.0,1435.0,0.26789,0.5517,0.13737,buy,3.7037037037037033
BJTM,650.0,640.0,755.0,0.36653998,0.5507,0.13058,strong_buy,8.695652173913045
BMHS,362.0,342.0,635.0,0.08355,0.9435,0.03139,strong_buy,6.8259385665529
BMSR,312.0,244.0,1060.0,0.05217,0.0,0.35175,none,8.333333333333334
BNLI,935.0,910.0,1255.0,0.31667998,0.2727,0.05252,none,7.246376811594202
BTPS,1975.0,1855.0,3380.0,0.52857,0.42430001,0.21040002,buy,7.868852459016393
CASA,600.0,590.0,855.0,0.12816,0.0,0.00514,none,3.7735849056603774
CMNP,1600.0,1550.0,2200.0,0.24042,0.0,0.08595,none,7.6923076923076925
DLTA,3690.0,3680.0,4150.0,0.32458,1.1861,0.25276,none,2.127659574468085
DMMX,318.0,222.0,1460.0,0.00694,0.0,0.00467,strong_buy,7.754442649434571
DVLA,1965.0,1900.0,2590.0,0.05723,1.75,0.050240003,none,9.420289855072463
EMTK,575.0,565.0,1860.0,-0.01512,0.26590002,0.05376,buy,0.7722007722007722
GOOD,430.0,422.0,575.0,0.07354,0.47849998,0.15949,none,5.228758169934641
HERO,1200.0,1140.0,1815.0,0.01988,0.0,-0.33530998,none,8.88888888888889
INAF,530.0,515.0,1300.0,-0.54759,0.0,-2.38854,none,1.910828025477707
INCI,520.0,495.83334,746.1111,0.02901,0.0,0.02693,none,9.655935869012087
INDR,3460.0,3350.0,7950.0,-0.03443,0.0,-0.06368,none,2.391304347826087
IRRA,520.0,442.0,1335.0,0.09377,0.90669996,0.06762,none,8.734602463605823
ITMA,474.0,460.0,1325.0,0.52397,0.0,0.01123,none,1.6184971098265895
KINO,1495.0,1405.0,2520.0,-0.21733999,0.0,-0.47483003,underperform,8.071748878923767
KMDS,470.0,462.0,690.0,0.18955,0.0,0.25733,none,3.5087719298245617
KOBX,212.0,200.0,456.0,0.031889997,0.0,0.07409,none,4.6875
KOPI,358.0,324.0,895.0,0.05632,0.0,0.05172,none,5.954465849387041
KRAS,204.0,198.0,474.0,-0.0055400003,0.0,-0.15134,none,2.173913043478261
LINK,1750.0,1605.0,4770.0,0.09908,9.9086,0.01044,buy,4.581358609794629
LPPF,2460.0,2420.0,5400.0,0.23582001,1.0437,10.5022,buy,1.342281879194631
LTLS,1015.0,975.0,1630.0,0.05948,0.6098,0.07242,none,6.106870229007634
MAYA,474.0,438.0,790.0,0.02145,0.0,0.0002,none,10.227272727272727
MLPT,1790.0,1725.0,3100.0,0.08039,1.9528999,0.47599,none,4.7272727272727275
MNCN,510.0,505.0,910.0,0.26829,0.0,0.08765,buy,1.234567901234568
MREI,1940.0,1610.0,6500.0,0.00582,3.0,0.0015199999,none,6.748466257668712
MSIN,3700.0,3580.0,5800.0,0.11688,0.0,0.079239994,none,5.405405405405405
MTDL,515.0,505.0,695.0,0.052789997,0.3085,0.19669001,strong_buy,5.2631578947368425
NIKL,380.0,354.0,955.0,0.018170001,0.0,0.027579999,none,4.3261231281198
OASA,204.0,105.0,1350.0,0.21094999,0.0,0.014249999,none,7.951807228915663
OMRE,550.0,450.0,1830.0,-3.64823,0.0,-0.043420002,none,7.246376811594202
PALM,505.0,500.0,925.0,1.04577,0.0,-0.29518,none,1.1764705882352942
PEHA,675.0,650.0,965.0,0.09836,0.461,0.03183,none,7.936507936507937
PGAS,1355.0,1295.0,1995.0,0.14513,0.6966,0.09628,hold,8.571428571428571
PGUN,478.0,434.0,1685.0,0.25809,0.0,0.10663,none,3.5171862509992007
PNIN,1075.0,985.0,2210.0,0.19104,0.0,0.06255,none,7.346938775510204
PNLF,300.0,254.0,775.0,0.24024001,0.1688,0.06937,none,8.829174664107486
POLU,220.0,196.0,590.0,-0.19574,0.0,-0.085209996,none,6.091370558375635
PRAY,710.0,670.0,1125.0,0.06992,0.0,0.0,none,8.791208791208792
PTSP,1515.0,1505.0,6000.0,0.0306,0.0,0.08332,none,0.22246941045606228
RALS,555.0,540.0,720.0,0.09109,0.98480004,0.08575,underperform,8.333333333333334
RANC,635.0,600.0,1250.0,-0.0133299995,0.0,-0.17947,none,5.384615384615385
SIPD,940.0,900.0,1495.0,-0.0092400005,0.0,-0.19116,none,6.722689075630252
SMAR,4390.0,4290.0,5975.0,0.058520004,0.4241,0.22403999,none,5.9347181008902075
SMKL,244.0,220.0,456.0,0.03615,0.0,0.02394,none,10.16949152542373
SOHO,4850.0,4820.0,6000.0,0.0506,0.9478,0.12729,none,2.542372881355932
SONA,3000.0,2900.0,5275.0,-0.0035499998,0.0,-0.01545,none,4.2105263157894735
SOTS,236.0,230.0,394.0,-0.36619,0.0,-0.05817,none,3.658536585365854
SSTM,535.0,530.0,800.0,-0.06491,0.0,-0.03869,none,1.8518518518518516
STAA,830.0,800.0,1205.0,0.19483,0.875,0.18821,buy,7.407407407407407
SURE,1395.0,1365.0,1900.0,-0.27578,0.0,-0.25552,none,5.607476635514019
TINS,885.0,870.0,1535.0,-0.00153,0.0,-0.0035299999,strong_buy,2.255639097744361
TOBA,332.0,330.0,880.0,0.08781999,0.21149999,0.14825,none,0.36363636363636365
TPIA,2000.0,1995.0,2650.0,-0.03223,0.0,-0.02948,underperform,0.7633587786259542
UNVR,3610.0,3570.0,5475.0,0.15542,1.1382,1.1042299,hold,2.099737532808399
WIKA,428.0,358.0,1135.0,0.013250001,0.0,-0.12134,hold,9.00900900900901
WSKT,202.0,195.0,590.0,-0.08863,0.0,-0.26299998,hold,1.7721518987341771
YPAS,530.0,498.0,1220.0,0.01995,0.0,0.066420004,none,4.43213296398892
ZYRX,228.0,199.0,540.0,0.17072001,0.0,0.3225,none,8.504398826979472
