Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBTRP,Proft,ProftOwner,EPSRP,BVRP,PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,12/31/2023,Dec,A,WTM,26176,10149,16026,16766,8699,6806,6809,167,392,8,3.34,0.63,26,42,41
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,12/31/2023,Dec,A,WTM,161688,47304,114384,100625,35421,28637,25342,792,3576,3,0.76,0.41,16,22,25
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,12/31/2023,Dec,A,WTM,4,2,2,10,-17,-14,-14,-63,8,-9,64.65,1.14,-354,-756,-141
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk.,S,12/31/2023,Dec,A,WTM,30255,16212,14043,42087,3687,3078,2780,139,700,12,2.46,1.15,9,20,7
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,09/30/2023,Dec,U,,3991,2947,1044,726,-9,17,17,-9,356,-18,0.46,2.82,-1,-3,-4
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,09/30/2023,Dec,U,,7378,6288,1090,3070,1,0,-20,-24,318,-11,0.85,5.77,-1,-8,-3
ARTI,Energy,A132,Oil. Gas & Coal Equipment & Services,Ratu Prabu Energi Tbk,S,09/30/2023,Dec,U,,637,791,-154,98,2,2,1,2,-20,2,-0.15,-5.13,2,0,13
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,12/31/2023,Dec,A,WTM,537,78,460,163,64,62,62,7,54,9,1.25,0.17,12,14,38
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,09/30/2023,Dec,U,,685,141,545,262,52,51,51,21,158,9,1.19,0.26,11,13,28
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,09/30/2023,Dec,U,,28988,17889,11099,7640,888,545,537,6,174,14,0.47,1.61,1,3,5
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,09/30/2023,Dec,U,,631,797,-167,142,-127,-127,-127,-130,-119,0,-0.42,-4.78,-29,0,-128
BSML,Energy,A122,Coal Distribution,Bintang Samudera Mandiri Lines Tbk,S,09/30/2023,Dec,U,,253,135,118,233,15,12,12,9,64,17,2.56,1.15,7,15,7
BSSR,Energy,A121,Coal Production,Baramulti Suksessarana Tbk,S,12/31/2023,Dec,A,WTM,6306,2562,3744,17513,3406,2505,2505,957,1431,4,2.62,0.68,40,67,14
BULL,Energy,A112,Oil & Gas Storage & Distribution,Buana Lintas Lautan Tbk,S,09/30/2023,Dec,U,,5577,3393,2184,1670,381,380,380,-26,155,-4,0.67,1.55,-7,-17,-22
BUMI,Energy,A121,Coal Production,Bumi Resources Tbk,S,12/31/2023,Dec,A,WTM,64885,22046,42840,25937,1186,415,169,0,115,185,0.73,0.51,0,0,1
BYAN,Energy,A121,Coal Production,Bayan Resources Tbk,S,12/31/2023,Dec,A,WTM,53177,22626,30551,55293,25211,19755,19122,574,917,33,20.73,0.74,36,63,35
CANI,Energy,A122,Coal Distribution,Capitol Nusantara Indonesia Tbk,S,12/31/2023,Jun,U,,218,689,-471,29,-11,-11,-11,-61,-566,-1,-0.07,-1.46,-23,0,-175
CNKO,Energy,A122,Coal Distribution,Exploitasi Energi Indonesia Tbk,S,12/31/2023,Dec,A,WTM,976,2303,-1327,1742,-34,-42,-41,-5,-148,-7,-0.23,-1.74,-4,0,-2
COAL,Energy,A121,Coal Production,PT Black Diamond Resources Tbk,S,09/30/2023,Dec,U,,717,385,332,523,53,43,42,5,53,9,0.94,1.16,5,10,6
DEWA,Energy,A132,Oil. Gas & Coal Equipment & Services,Darma Henwa Tbk,S,09/30/2023,Dec,LR,,8137,4885,3252,5423,19,13,13,-5,149,-12,0.42,1.5,-1,-4,-2
DOID,Energy,A132,Oil. Gas & Coal Equipment & Services,Delta Dunia Makmur Tbk,S,12/31/2023,Dec,A,WTM,28942,24733,4209,28305,932,556,556,64,488,6,0.84,5.88,2,13,2
DSSA,Energy,A121,Coal Production,Dian Swastatika Sentosa Tbk,S,09/30/2023,Dec,A,WTM,40054,15449,24605,63393,15643,11609,5820,12705,31932,10,3.85,0.63,24,40,15
DWGL,Energy,A122,Coal Distribution,Dwi Guna Laksana Tbk,S,12/31/2023,Dec,A,WTM,1844,1688,156,3261,24,16,16,2,17,65,6.45,10.79,1,10,0
ELSA,Energy,A131,Oil & Gas Drilling Service,Elnusa Tbk,S,12/31/2023,Dec,A,WTM,9601,5185,4416,12564,647,503,503,69,605,6,0.64,1.17,5,11,4
ENRG,Energy,A111,Oil & Gas Production & Refinery,Energi Mega Persada Tbk,S,09/30/2023,Dec,U,,19000,10330,8670,4590,1125,705,708,43,349,5,0.62,1.19,6,12,23
FIRE,Energy,A122,Coal Distribution,Alfa Energi Investama Tbk,S,09/30/2023,Dec,U,,380,179,201,104,-16,-13,-13,-64,137,-1,0.67,0.89,-25,-47,-91
GEMS,Energy,A121,Coal Production,Golden Energy Mines Tbk,S,09/30/2023,Dec,A,WTM,17798,8195,9603,31825,7838,6095,5983,1596,1632,4,3.61,0.85,53,98,30
GTBO,Energy,A121,Coal Production,Garda Tujuh Buana Tbk,S,09/30/2023,Dec,U,,1068,193,875,685,218,164,164,94,350,4,1.08,0.22,22,27,34
GTSI,Energy,A112,Oil & Gas Storage & Distribution,GTS Internasional Tbk,S,09/30/2023,Dec,U,,1605,661,943,263,102,99,82,5,60,10,0.84,0.7,5,8,30
HITS,Energy,A112,Oil & Gas Storage & Distribution,Humpuss Intermoda Transportasi Tbk,S,09/30/2023,Dec,U,,4110,2458,1653,1267,184,167,172,27,233,14,1.62,1.49,5,12,15
HRUM,Energy,A121,Coal Production,Harum Energy Tbk,S,09/30/2023,Dec,LR,,22850,5380,17470,9950,3069,2245,1661,203,1292,7,1.04,0.31,12,16,28
INDY,Energy,A121,Coal Production,Indika Energy Tbk,S,09/30/2023,Dec,U,,48405,27290,21115,35600,3171,1854,1453,644,4053,2,0.37,1.29,7,16,9
INPS,Energy,A112,Oil & Gas Storage & Distribution,Indah Prakasa Sentosa Tbk,S,09/30/2023,Dec,U,,301,231,69,207,50,50,49,-36,107,-4,1.23,3.34,-8,-33,-11
ITMA,Energy,A132,Oil. Gas & Coal Equipment & Services,SUMBER ENERGI ANDALAN Tbk,S,12/31/2023,Dec,A,WTM,3500,233,3267,4,32,32,34,34,3270,27,0.28,0.07,1,1,890
ITMG,Energy,A121,Coal Production,Indo Tambangraya Megah Tbk,S,12/31/2023,Dec,A,WTM,33778,6165,27613,36657,9944,7714,7725,6836,24438,4,1.09,0.22,23,28,21
KKGI,Energy,A121,Coal Production,Resource Alam Indonesia Tbk,S,12/31/2023,Dec,A,WTM,3096,945,2151,4549,604,414,415,83,430,4,0.77,0.44,13,19,9
KOPI,Energy,A112,Oil & Gas Storage & Distribution,Mitra Energi Persada Tbk,S,09/30/2023,Dec,U,,319,217,102,151,7,4,4,6,146,64,2.52,2.13,1,4,3
LEAD,Energy,A112,Oil & Gas Storage & Distribution,Logindo Samudramakmur Tbk,S,09/30/2023,Dec,U,,2010,1641,370,376,-78,-82,-82,-29,91,-2,0.73,4.44,-6,-31,-31
MBAP,Energy,A121,Coal Production,Mitrabara Adiperdana Tbk,S,12/31/2023,Dec,A,WTM,3543,876,2668,3460,475,335,335,273,2174,12,1.53,0.33,9,13,10
MBSS,Energy,A122,Coal Distribution,Mitrabahtera Segara Sejati Tbk,S,12/31/2023,Dec,A,WTM,3814,560,3255,976,380,380,380,217,1860,5,0.55,0.17,10,12,39
MCOL,Energy,A121,Coal Production,Prima Andalan Mandiri Tbk,S,12/31/2023,Dec,A,WTM,11500,2458,9042,14158,4554,3627,3517,989,2543,6,2.28,0.27,31,39,25
MEDC,Energy,A111,Oil & Gas Production & Refinery,Medco Energi Internasional Tbk,S,09/30/2023,Dec,U,,105828,74923,30904,25860,7762,3985,3754,236,1229,6,1.16,2.42,6,19,23
MTFN,Energy,A112,Oil & Gas Storage & Distribution,Capitalinc Investment Tbk,S,09/30/2022,Dec,U,,806,852,-46,311,-10,-13,-13,0,-1,0,-34.8,-18.61,0,0,-1
MYOH,Energy,A132,Oil. Gas & Coal Equipment & Services,Samindo Resources Tbk,S,09/30/2023,Dec,U,,2655,280,2375,1469,215,179,179,112,1077,18,1.84,0.12,9,10,17
PGAS,Energy,A112,Oil & Gas Storage & Distribution,Perusahaan Gas Negara Tbk,S,12/31/2023,Dec,A,WTM,101886,47225,54660,56295,8088,5815,4293,177,2255,8,0.6,0.86,4,8,8
PKPK,Energy,A132,Oil. Gas & Coal Equipment & Services,Perdana Karya Perkasa Tbk,S,12/31/2023,Dec,A,WTM,251,8,243,58,-6,-6,-6,-5,203,-65,1.63,0.03,-2,-3,-11
