Kode,P,Current,L,H,OpMargin,DevPR,RoE
AALI,1,6875,6850,8500,10,59,6
ABBA,1,51,50,149,-13,0,-1664
ABDA,0,5500,5500,6650,5,0,3
ABMM,48,3390,2510,4340,19,22,55
ACES,84,820,432,890,12,66,14
ACRO,14,98,82,191,30,0,0
ACST,8,129,117,262,-6,0,-53
ADCP,0,50,50,75,10,0,3
ADES,34,9075,6375,14125,35,0,29
ADHI,0,282,280,535,5,0,2
ADMF,50,11250,9250,13250,44,44,17
ADMG,23,138,123,186,-12,0,-12
ADMR,80,1410,740,1570,44,0,44
ADRO,35,2420,2010,3160,29,55,29
AEGS,55,93,43,133,5,0,5
AGAR,0,100,100,296,-4,0,-6
AGII,8,1510,1435,2290,17,10,3
AGRO,24,274,216,456,9,0,0
AGRS,23,79,72,102,36,0,5
AHAP,29,75,50,134,-12,0,-8
AIMS,40,660,179,1365,-27,0,-23
AISA,34,132,105,184,5,0,-1
AKKU,0,50,50,55,-60,0,-9
AKPI,11,715,630,1350,0,50,-1
AKRA,76,1590,1255,1695,7,77,22
AKSI,27,176,130,296,-7,0,-5
ALDO,15,635,580,935,4,8,1
ALKA,21,464,312,1015,2,0,28
ALMI,2,178,175,300,-15,0,-27
ALTO,0,50,50,50,0,0,-8
AMAG,5,286,280,396,18,65,8
AMAN,1,117,105,1225,37,0,9
AMAR,25,274,248,350,45,0,6
AMFG,57,5825,4700,6650,18,9,9
AMIN,53,152,88,208,6,0,11
AMMN,88,7600,1700,8350,33,0,0
AMMS,25,38,30,61,12,0,0
AMOR,34,1065,850,1475,30,95,34
AMRT,21,2650,2530,3100,2,30,28
ANDI,0,50,50,53,-4,0,-19
ANJT,21,710,625,1025,17,614,0
ANTM,0,1525,1525,2320,10,47,0
APEX,19,168,127,340,1,0,0
APIC,31,1210,1055,1545,-3,0,8
APII,27,186,174,218,7,0,3
APLI,78,590,232,690,17,0,19
APLN,3,122,120,175,34,0,7
ARCI,25,352,308,484,6,0,4
ARGO,65,965,450,1240,-7,0,0
ARII,23,210,142,434,-9,0,-7
ARKA,0,50,50,50,7,0,5
ARKO,81,800,510,865,29,0,13
ARMY,0,50,50,50,0,0,0
ARNA,11,680,630,1055,22,84,27
ARTA,82,2730,1415,3000,0,0,2
ARTI,2,5,4,50,58,0,0
ARTO,66,3070,1530,3860,5,0,0
ASBI,88,700,430,735,37,0,3
ASDM,14,462,446,555,3,61,5
ASGR,13,900,865,1125,8,24,9
ASHA,0,50,50,185,-10,0,0
ASII,20,5325,4900,7000,12,82,17
ASJT,43,117,100,139,-1,0,0
ASLC,29,92,76,131,5,0,3
ASLI,1,51,50,133,17,0,0
ASMI,0,50,50,90,-11,0,-3
ASPI,10,139,96,492,-39,0,-5
ASRI,27,160,144,202,42,0,11
ASRM,0,1510,1510,1710,1,22,14
ASSA,4,720,690,1420,1,0,0
ATAP,2,51,50,84,10,0,2
ATIC,25,392,332,565,6,0,64
AUTO,38,2210,1335,3620,6,29,15
AVIA,48,585,422,760,21,89,14
AWAN,47,290,135,460,23,0,0
AXIO,65,202,107,252,16,0,25
AYAM,-102,0,92,182,0,0,0
AYLS,0,50,50,109,-21,0,-8
BABP,3,56,54,109,18,0,1
BABY,28,204,152,332,-5,0,12
BACA,22,130,123,154,27,0,2
BAJA,6,123,116,222,-1,0,-42
BALI,59,1100,600,1435,45,67,7
BANK,20,1045,930,1495,-85,0,-10
BAPA,16,59,50,105,-90,0,-1
BAPI,0,50,50,50,-62,0,0
BATA,3,97,76,740,-12,0,-51
BAUT,0,50,50,50,0,0,0
BAYU,63,1415,830,1750,3,0,18
BBCA,93,9700,8250,9800,59,53,20
BBHI,16,1200,995,2230,46,0,6
BBKP,10,79,72,140,410,0,-42
BBLD,17,575,466,1100,29,24,8
BBMD,59,1900,1680,2050,58,32,9
BBNI,96,5775,4312,5825,36,35,14
BBRI,96,5850,4640,5900,51,77,19
BBRM,35,65,50,92,46,0,11
BBSI,100,3770,2700,3770,67,0,4
BBSS,19,69,50,147,-186,0,0
BBTN,50,1280,1150,1410,66,18,12
BBYB,19,318,208,780,-84,0,-27
BCAP,0,50,50,87,17,0,2
BCIC,31,118,93,173,11,0,3
BCIP,27,59,54,72,27,0,3
BDKR,75,520,204,620,17,0,0
BDMN,29,2810,2600,3320,34,34,7
BEBS,0,50,50,595,-16,0,6
BEEF,79,240,50,290,8,0,0
BEER,4,252,244,414,4,0,9
BEKS,0,50,50,50,15,0,-7
BELI,79,480,418,496,-23,0,-48
BELL,2,68,66,152,3,0,2
BESS,60,200,124,250,17,0,14
BEST,13,133,123,195,27,0,0
BFIN,46,1225,955,1535,40,54,18
BGTG,28,73,60,106,52,0,2
BHAT,4,390,366,875,7,0,0
BHIT,0,50,50,68,8,0,3
BIKA,4,52,50,95,-3,0,0
BIKE,96,482,189,494,1,0,5
BIMA,31,90,56,165,0,0,-1
BINA,77,4220,3610,4400,39,0,7
BINO,70,126,105,135,6,0,1
BIPI,7,92,84,186,15,0,3
BIPP,0,50,50,51,25,0,1
BIRD,16,1735,1595,2430,11,38,8
BISI,46,1570,1350,1825,31,46,14
BJBR,18,1160,1105,1410,29,57,12
BJTM,35,655,600,755,34,54,12
BKDP,7,53,50,90,-23,0,-6
BKSL,0,50,50,60,1,0,0
BKSW,12,77,71,118,8,0,0
BLTA,0,50,50,50,26,0,35
BLTZ,3,1900,1820,3900,5,0,-17
BLUE,36,368,276,525,20,0,21
BMAS,1,545,530,1690,8,0,3
BMBL,4,20,17,80,13,0,0
BMHS,24,308,268,434,5,71,1
BMRI,32,6675,4875,10400,58,44,22
BMSR,17,332,244,745,6,0,14
BMTR,5,258,250,388,5,0,4
BNBA,18,660,486,1425,28,0,0
BNBR,0,50,50,77,8,0,15
BNGA,88,1745,1180,1815,50,47,13
BNII,27,244,218,312,21,35,5
BNLI,14,920,895,1070,41,28,4
BOBA,23,159,132,248,17,0,7
BOGA,22,1100,1050,1270,-3,0,1
BOLA,4,150,146,244,-12,0,-1
BOLT,38,745,550,1060,15,36,15
BOSS,0,50,50,97,-249,0,0
BPFI,42,392,292,525,33,16,6
BPII,23,10350,10200,10850,21,267,8
BPTR,5,73,66,187,24,0,8
BRAM,3,5800,5700,8400,6,78,9
BREN,55,4950,975,8200,0,0,0
BRIS,92,2320,1300,2400,40,7,15
BRMS,28,146,114,226,28,0,1
BRNA,63,990,800,1100,-1,0,-16
BRPT,27,1050,710,1950,10,37,2
BSBK,18,57,50,87,31,0,1
BSDE,33,1030,925,1235,33,0,9
BSIM,40,875,755,1050,2,0,3
BSML,27,202,107,450,7,0,15
BSSR,41,3690,3130,4480,7,128,67
BSWD,100,1550,1187,1550,42,0,1
BTEK,0,50,50,50,-13,0,-8
BTEL,0,50,50,50,0,0,0
BTON,46,412,358,474,7,0,9
BTPN,46,2580,2380,2810,32,22,8
BTPS,3,1590,1550,2660,37,48,17
BUAH,90,2070,825,2200,3,0,20
BUDI,80,276,200,294,4,37,6
BUKA,3,185,181,306,-11,0,-9
BUKK,22,1040,875,1600,5,0,16
BULL,72,153,56,189,32,0,-15
BUMI,1,86,84,186,-16,0,12
BUVA,55,55,34,72,0,0,6
BVIC,9,89,84,135,44,0,6
BWPT,4,51,50,73,16,0,6
BYAN,61,19750,13200,23800,52,107,66
CAKK,3,145,142,234,-15,0,-5
CAMP,39,348,292,434,16,91,13
CANI,0,50,50,120,-49,0,0
CARE,8,166,130,545,-42,0,-3
CARS,54,99,72,122,4,0,25
CASA,97,760,432,770,16,0,0
CASH,67,128,58,161,0,0,-4
CASS,85,870,398,950,24,0,48
CBMF,0,50,50,50,-114,0,-2
CBPE,29,127,109,170,53,0,15
CBRE,0,50,50,101,18,0,6
CBUT,16,1805,1360,4000,3,0,33
CCSI,16,450,380,800,-6,0,1
CEKA,19,1875,1810,2150,3,29,13
CENT,2,52,50,126,33,0,0
CFIN,36,476,320,750,37,41,18
CGAS,4,234,196,1030,2,0,0
CHEM,14,108,98,166,5,0,2
CHIP,76,2290,168,2950,7,9,0
CINT,15,147,132,228,3,0,-2
CITA,37,2660,1840,4020,0,12,7
CITY,2,52,50,147,-118,0,-2
CLAY,3,103,86,560,22,0,0
CLEO,63,665,440,795,26,8,19
CLPI,44,980,925,1050,8,44,7
CMNP,5,1505,1480,1905,3240,0,9
CMNT,87,1125,755,1180,11,0,2
CMPP,2,113,111,187,-14,0,0
CMRY,25,3980,3520,5325,20,48,21
CNKO,0,50,50,50,6,0,0
CNMA,15,250,234,340,15,0,15
CNTX,0,122,122,248,-5,0,0
COAL,0,50,50,173,2,0,10
COCO,9,157,145,270,0,0,-6
COWL,0,50,50,50,0,0,0
CPIN,18,4640,4330,5975,11,0,8
CPRI,0,50,50,51,-8,0,-1
CPRO,4,52,50,91,9,0,12
CRAB,18,230,206,334,1,0,4
CRSN,16,104,91,168,10,0,0
CSAP,42,605,430,845,3,23,8
CSIS,0,50,50,74,10,0,3
CSMI,40,2790,2520,3190,38,0,-54
CSRA,22,470,400,710,33,0,11
CTBN,8,1200,1075,2570,12,0,8
CTRA,72,1195,920,1300,31,18,7
CTTH,7,15,12,52,19,0,-15
CUAN,48,6800,240,13750,8,0,0
CYBR,59,220,130,282,-3,0,0
DADA,8,9,5,50,-1933,0,0
DART,19,135,115,218,12,0,-18
DAYA,65,308,168,382,-1,0,-172
DCII,13,36000,32525,59050,51,0,27
DEAL,0,6,6,50,-85,0,0
DEFI,0,1455,1455,1610,-174,0,-22
DEPO,23,372,336,488,2,29,8
DEWA,16,57,50,93,1,0,-3
DEWI,3,62,50,394,17,0,5
DFAM,9,54,50,92,6,0,-33
DGIK,22,89,72,149,5,0,5
DGNS,63,260,160,318,-8,0,-4
DIGI,23,18,8,50,-9,0,0
DILD,24,191,158,292,31,0,15
DIVA,1,198,184,900,0,0,-44
DKFT,41,103,76,141,10,0,6
DLTA,3,3390,3360,4150,30,126,22
DMAS,5,161,160,179,-164,113,17
DMMX,6,280,222,1175,1,0,-9
DMND,20,780,755,875,2,0,6
DNAR,24,122,107,168,16,0,0
DNET,82,4600,3800,4770,37,0,8
DOID,30,360,268,570,11,6,11
