date,text
2021-10-13T22:57:08,
2021-10-14T09:03:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

GSMF|Kenaikan:11.24%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:04:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

GSMF|Kenaikan:34.91%
RONY|Kenaikan:12.39%
MGLV|Kenaikan:10.00%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:05:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

JAWA|Kenaikan:10.59%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:06:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

RONY|Kenaikan:15.93%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:09:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

SQMI|Kenaikan:11.82%
RONY|Kenaikan:20.35%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:12:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

SQMI|Kenaikan:16.36%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:13:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

ARKA|Kenaikan:11.11%
*)INTD|Kenaikan:15.72%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:16:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)INTD|Kenaikan:14.47%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:20:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

RDTX|Kenaikan:11.43%
GSMF|Kenaikan:23.08%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:26:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)BAPA|Kenaikan:10.00%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:28:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

ABBA|Kenaikan:10.53%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T09:44:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)CTBN|Kenaikan:11.53%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
