date,text
2019-11-28T10:45:54,
2020-07-11T12:39:11,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nARGO\nBuy at: 1280\nSL: < 1216\nTP:1344\nAlert Date: 2020-07-11\nAlert Time: 12:39:10\n\nIKAN\nBuy at: 570\nSL: < 542\nTP:599\nAlert Date: 2020-07-11\nAlert Time: 12:39:10\n\n*)MARK\nBuy at: 805\nSL: < 765\nTP:845\nAlert Date: 2020-07-11\nAlert Time: 12:39:10\n\nPGUN\nBuy at: 324\nSL: < 308\nTP:340\nAlert Date: 2020-07-11\nAlert Time: 12:39:10\n\nUANG\nBuy at: 440\nSL: < 418\nTP:462\nAlert Date: 2020-07-11\nAlert Time: 12:39:10\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-11T22:17:12,
2020-07-12T21:33:05,
2020-07-13T09:01:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)MARK\nBuy at: 830\nSL: < 789\nTP:872\nAlert Date: 2020-07-13\nAlert Time: 09:01:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-13T09:02:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nPGUN\nBuy at: 372\nSL: < 353\nTP:391\nAlert Date: 2020-07-13\nAlert Time: 09:02:01\n\nUANG\nBuy at: 462\nSL: < 439\nTP:485\nAlert Date: 2020-07-13\nAlert Time: 09:02:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-13T09:30:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nIKAN\nBuy at: 575\nSL: < 546\nTP:604\nAlert Date: 2020-07-13\nAlert Time: 09:30:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-13T09:54:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTPW\nBuy at: 1210\nSL: < 1150\nTP:1271\nAlert Date: 2020-07-13\nAlert Time: 09:54:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-14T09:00:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)CENT\nBuy at: 102\nSL: < 97\nTP:107\nAlert Date: 2020-07-14\nAlert Time: 09:00:01\n\nIKAN\nBuy at: 620\nSL: < 589\nTP:651\nAlert Date: 2020-07-14\nAlert Time: 09:00:01\n\n*)IMPC\nBuy at: 1270\nSL: < 1207\nTP:1334\nAlert Date: 2020-07-14\nAlert Time: 09:00:01\n\nPGUN\nBuy at: 404\nSL: < 384\nTP:424\nAlert Date: 2020-07-14\nAlert Time: 09:00:01\n\n*)PTPW\nBuy at: 1310\nSL: < 1245\nTP:1376\nAlert Date: 2020-07-14\nAlert Time: 09:00:01\n\nUANG\nBuy at: 550\nSL: < 523\nTP:578\nAlert Date: 2020-07-14\nAlert Time: 09:00:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-14T09:27:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PYFA\nBuy at: 675\nSL: < 641\nTP:709\nAlert Date: 2020-07-14\nAlert Time: 09:27:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-14T09:29:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTRO\nBuy at: 1745\nSL: < 1658\nTP:1832\nAlert Date: 2020-07-14\nAlert Time: 09:29:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-14T09:45:03,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PNSE\nBuy at: 730\nSL: < 694\nTP:767\nAlert Date: 2020-07-14\nAlert Time: 09:45:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-14T13:49:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)MARK\nBuy at: 810\nSL: < 770\nTP:851\nAlert Date: 2020-07-14\nAlert Time: 13:49:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:02:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nUANG\nBuy at: 840\nSL: < 798\nTP:882\nAlert Date: 2020-07-15\nAlert Time: 09:02:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:12:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTPW\nBuy at: 1450\nSL: < 1378\nTP:1523\nAlert Date: 2020-07-15\nAlert Time: 09:12:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:17:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nIKAN\nBuy at: 665\nSL: < 632\nTP:698\nAlert Date: 2020-07-15\nAlert Time: 09:17:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:36:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)TPMA\nBuy at: 336\nSL: < 319\nTP:353\nAlert Date: 2020-07-15\nAlert Time: 09:36:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:40:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PNSE\nBuy at: 1045\nSL: < 993\nTP:1097\nAlert Date: 2020-07-15\nAlert Time: 09:40:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-16T09:16:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)KBAG\nBuy at: 416\nSL: < 395\nTP:437\nAlert Date: 2020-07-16\nAlert Time: 09:16:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
