Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,12/31/2022,Dec,A,0,20061.05,11184.41,8876.64,14159.75,6826.07,5234.84,5179.83,126.7,217.13,10.18,5.94,1.26,26.0,58.0,37.0
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,12/31/2022,Dec,A,WTP,168117.73,66343.48,101774.25,126332.61,69793.21,44142.87,38872.1,1215.29,3181.84,2.39,0.91,0.65,23.0,38.0,31.0
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,09/30/2022,Dec,U,0,28.93,9.57,19.36,30.79,3.97,3.97,3.97,26.76,88.02,10.54,3.2,0.49,20.0,30.0,19.0
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk,S,12/31/2022,Dec,A,WTM,27187.61,14032.8,13154.81,47539.99,3085.92,2479.06,2403.33,119.73,655.33,12.95,2.37,1.07,9.0,18.0,5.0
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,09/30/2022,Dec,U,0,4024.06,2991.8,1032.26,987.09,-1234.57,-965.84,-965.84,-341.89,369.09,-0.49,0.45,2.9,-24.0,-93.0,-97.0
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,09/30/2022,Dec,U,0,6897.4,5747.03,1150.37,2479.65,526.75,478.77,412.07,113.21,335.29,2.21,0.75,5.0,6.0,34.0,16.0
ARTI,Energy,A132,"Oil, Gas & Coal Equipment & Services",Ratu Prabu Energi Tbk,S,09/30/2022,Dec,U,0,594.37,763.05,-168.68,47.01,-70.31,-70.31,-68.83,-19.3,-21.52,-2.59,-2.32,-4.52,-25.0,0.0,-322.0
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,12/31/2022,Dec,A,WDP,530.27,129.34,400.93,145.48,12.56,10.79,10.79,1.27,47.28,42.42,1.14,0.32,2.0,3.0,7.0
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,09/30/2022,Dec,U,0,783.91,310.78,473.12,307.29,37.58,34.89,34.89,19.89,137.52,8.14,1.18,0.66,9.0,14.0,22.0
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,09/30/2022,Dec,LR,0,16186.96,8495.3,7691.67,497.86,378.59,146.89,348.16,6.22,132.8,24.13,1.13,1.1,2.0,5.0,72.0
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,09/30/2022,Dec,U,0,724.71,708.93,15.78,402.98,93.8,93.8,93.8,26.86,11.27,3.91,9.31,44.92,5.0,238.0,9.0
BSML,Energy,A122,Coal Distribution,Bintang Samudera Mandiri Lines Tbk,S,09/30/2022,Dec,U,0,263.47,160.11,103.36,214.21,13.32,10.8,10.8,6.55,55.86,60.19,7.05,1.55,5.0,12.0,6.0
BSSR,Energy,A121,Coal Production,Baramulti Suksessarana Tbk,S,12/31/2022,Dec,A,WTM,6312.13,2874.44,3437.69,16044.42,4814.52,3740.46,3740.45,1701.09,1313.85,2.32,3.0,0.84,59.0,109.0,23.0
BULL,Energy,A112,Oil & Gas Storage & Distribution,Buana Lintas Lautan Tbk,S,09/30/2022,Dec,U,0,6394.38,4031.03,2363.35,1405.5,73.43,70.29,62.26,-229.08,167.4,-0.58,0.79,1.71,-51.0,-137.0,-230.0
BUMI,Energy,A121,Coal Production,Bumi Resources Tbk,S,12/31/2022,Dec,A,WTP,69977.63,26031.45,43946.18,28534.61,10481.8,8679.51,8190.08,22.06,118.35,5.76,1.07,0.59,12.0,19.0,29.0
BYAN,Energy,A121,Coal Production,Bayan Resources Tbk,S,12/31/2022,Dec,A,WTP,61517.59,30407.02,31110.57,73338.87,45923.27,35886.63,33966.78,1019.0,933.32,20.39,22.26,0.98,55.0,109.0,46.0
CANI,Energy,A122,Coal Distribution,Capitol Nusantara Indonesia Tbk,S,12/31/2022,Jun,U,0,266.83,684.58,-417.75,154.92,-7.99,-8.07,-8.07,-18.75,-501.24,-4.85,-0.18,-1.64,-6.0,0.0,-10.0
CNKO,Energy,A122,Coal Distribution,Exploitasi Energi Indonesia Tbk,S,12/31/2022,Dec,A,0,905.89,2190.85,-1284.96,1375.28,-42.06,-59.45,-53.53,-5.98,-143.47,-8.37,-0.35,-1.7,-6.0,0.0,-4.0
COAL,Energy,A121,Coal Production,PT Black Diamond Resources Tbk,S,09/30/2022,Dec,LR,0,523.35,225.75,297.6,542.87,123.99,99.08,100.24,1.98,47.62,59.1,2.46,0.76,2.0,4.0,2.0
DEWA,Energy,A132,"Oil, Gas & Coal Equipment & Services",Darma Henwa Tbk,S,09/30/2022,Dec,A,WTP,8255.26,4540.53,3714.73,4209.5,-112.86,-123.86,-123.79,-6.08,169.98,-9.87,0.35,1.22,-2.0,-4.0,-3.0
DOID,Energy,A132,"Oil, Gas & Coal Equipment & Services",Delta Dunia Makmur Tbk,S,12/31/2022,Dec,A,0,24496.39,20501.28,3995.11,24225.44,630.27,446.53,446.53,51.8,463.41,5.87,0.66,5.13,2.0,11.0,2.0
DSSA,Energy,A121,Coal Production,Dian Swastatika Sentosa Tbk,S,12/31/2022,Dec,A,0,100274.96,53623.94,46651.01,92867.6,25036.32,20324.66,9281.37,12045.09,60542.31,2.88,0.57,1.15,9.0,20.0,10.0
DWGL,Energy,A122,Coal Distribution,Dwi Guna Laksana Tbk,S,12/31/2022,Dec,A,0,1421.23,1279.54,141.69,2784.9,16.94,3.4,3.4,0.37,15.31,378.26,9.08,9.03,0.0,2.0,0.0
ELSA,Energy,A131,Oil & Gas Drilling Service,Elnusa Tbk,S,12/31/2022,Dec,A,0,8836.09,4718.88,4117.21,12305.69,486.89,378.06,378.06,51.8,564.12,6.02,0.55,1.15,4.0,9.0,3.0
ENRG,Energy,A111,Oil & Gas Production & Refinery,Energi Mega Persada Tbk,S,12/31/2022,Dec,A,WTM,18622.0,10593.27,8028.73,7046.65,2188.48,1040.56,1040.8,39.55,323.46,5.66,0.69,1.32,6.0,13.0,15.0
FIRE,Energy,A122,Coal Distribution,Alfa Energi Investama Tbk,S,09/30/2022,Dec,U,0,465.36,170.81,294.55,168.75,-17.39,-13.12,-13.1,-52.62,199.64,-1.96,0.52,0.58,-17.0,-26.0,-46.0
