kode,now,l,h,hr,bl,dte,pbv,eg4,rg,pm,opm,etr,tcs,avol,dev,roe,adev,rekom,p
MERK,4000,3990,5100,4159,4557,2.2,2.4,48.1,4.7,15.5,18.7,1.6,379,31590,89.4,21.8,3.5,none,0
HEXA,5975,4990,6950,5596,5890,62.2,29875.0,4.8,9.3,8.7,12.0,7186.4,0,284110,69.9,37.9,16.2,none,50
UNIC,7900,7650,9700,7988,8306,2.3,11189.8,10.4,1.1,5.2,9.5,8512.8,0,890,48.9,6.6,4.6,none,12
ITMG,27025,22125,41500,25942,26328,2.2,18089.0,-77.2,-55.9,25.0,20.6,10727.6,0,839000,138.2,39.2,18.1,hold,25
BFIN,1305,955,1535,1191,1218,145.8,2.1,-31.8,-9.3,38.4,40.6,7.2,141,20487220,54.0,18.6,4.4,buy,60
CLPI,985,925,1050,985,985,11.6,0.6,-27.800000000000004,11.8,5.3,8.9,0.2,783,36720,44.6,8.0,7.8,none,48
ADMF,12000,9625,13250,11117,10960,145.8,1.1,30.9,20.0,32.5,45.9,4.5,1436,141060,41.3,18.4,8.8,none,65
BJTM,685,600,750,640,640,0.0,0.8,10.6,4.4,29.3,34.1,-0.5,1526,11400920,54.2,12.5,7.8,strong_buy,56
JTPE,290,200,378,307,290,10.0,1.9,110.9,61.7,10.0,15.8,0.9,21,35988220,17.3,23.9,6.6,none,50
SMDR,324,280,432,333,345,58.1,11172.4,-78.7,-41.3,12.0,9.1,6081.6,0,24546510,29.6,25.0,5.0,none,28
MBAP,4230,4130,6875,4256,4855,0.0,26772.2,-94.89999999999999,-68.5,16.6,4.2,20645.2,0,34210,188.9,19.4,13.9,none,3
PANS,1660,1515,2040,1645,1704,4.4,0.8,-72.2,-41.2,33.9,36.1,-0.1,1848,84700,133.5,8.9,6.7,none,27
DMAS,161,160,179,162,169,0.0,1.3,-92.4,-92.1,63.7,-165.0,4.1,19,11062420,113.9,17.9,13.6,strong_buy,5
BSSR,3690,3130,4480,3756,3816,2.8,42907.0,-72.2,-11.8,14.4,7.6,8307.7,0,416660,128.8,67.0,0.0,none,41
ASDM,478,446,555,475,480,1.3,0.5,58.3,0.4,10.6,3.9,0.3,326,24060,61.1,5.8,8.0,none,29
HMSP,900,835,1235,884,914,2.0,3.7,32.4,31.6,14.3,21.1,1.9,32,20454900,84.2,27.9,6.5,buy,16
MFIN,3120,1635,3190,3018,2724,94.8,2.5,-41.8,-6.6,31.7,40.0,6.4,547,1807400,53.2,15.5,3.9,none,95
INDS,2370,1915,3750,2464,2594,11.9,0.5,9.3,-0.7,6.9,11.9,0.5,169,22890,24.1,9.6,4.3,none,24
