KODE,%CHG,CHG,CLOSE,PREV,HIGH,LOW,HIGH DATE,LOW DATE
KARW,568,284,334,50,334,50,2024-03-21,2024-01-03
FORU,500,675,810,135,810,130,2024-02-28,2024-01-02
SRAJ,470,1410,1710,300,1715,238,2024-03-19,2024-01-16
MKAP,303,349,464,115,472,150,2024-05-27,2024-02-12
LABA,260,130,180,50,184,50,2024-05-13,2024-01-02
VISI,207,248,368,120,370,110,2024-05-28,2024-02-29
SSIA,160,696,1130,434,1245,370,2024-05-13,2024-01-16
CLAY,154,200,330,130,360,86,2024-03-08,2024-01-25
BSWD,149,1855,3100,1245,3100,1245,2024-04-03,2024-01-02
DSSA,147,117700,197700,80000,212000,77000,2024-05-28,2024-01-02
GMTD,118,2812,5200,2387,5225,2387,2024-01-24,2024-01-02
UNIQ,111,240,456,216,486,187,2024-04-25,2024-01-15
SURE,107,1180,2280,1100,2300,1100,2024-05-22,2024-01-02
NASI,104,80,157,77,195,50,2024-05-20,2024-01-26
AMMN,97,6350,12900,6550,15000,6250,2024-05-28,2024-01-05
GPSO,95,117,240,123,262,115,2024-04-19,2024-02-06
RSCH,93,114,236,122,262,121,2024-04-18,2024-01-05
CLEO,89,635,1345,710,1370,640,2024-05-28,2024-01-24
FWCT,89,67,142,75,173,66,2024-05-21,2024-02-12
CYBR,81,178,398,220,420,176,2024-05-17,2024-01-12
DATA,81,152,340,188,458,230,2024-05-15,2024-05-07
EURO,81,134,300,166,304,97,2024-05-28,2024-02-07
TPIA,73,3825,9075,5250,9475,3210,2024-05-27,2024-01-15
GULA,70,226,550,324,585,300,2024-05-22,2024-01-19
PSAB,68,60,148,88,214,88,2024-04-01,2024-01-02
PPRI,67,55,137,82,147,51,2024-05-28,2024-04-02
PEVE,65,110,280,170,280,163,2024-05-28,2024-01-04
DOID,62,218,570,352,585,320,2024-05-16,2024-02-23
GRIA,59,72,194,122,197,100,2024-05-28,2024-01-12
PTRO,58,3050,8300,5250,9850,3940,2024-05-16,2024-04-01
SATU,56,56,156,100,173,99,2024-04-26,2024-01-02
JECC,56,1350,3780,2430,4360,1490,2024-05-03,2024-02-28
ASPI,52,72,210,138,214,128,2024-05-28,2024-01-10
ESSA,52,275,805,530,860,490,2024-05-20,2024-01-31
BREN,51,3775,11250,7475,12200,3930,2024-05-17,2024-01-15
SUNI,50,200,600,400,680,320,2024-05-21,2024-02-13
SURI,48,78,242,164,750,159,2024-02-19,2024-01-12
PDPP,47,185,575,390,600,350,2024-05-22,2024-01-09
SHID,47,305,955,650,2900,625,2024-01-22,2024-01-04
KOKA,46,23,73,50,104,50,2024-01-31,2024-01-02
JARR,45,112,360,248,580,199,2024-03-20,2024-02-01
PGAS,45,505,1635,1130,1640,1090,2024-05-28,2024-02-29
MEJA,45,46,149,103,195,93,2024-03-21,2024-02-12
FOOD,45,46,149,103,165,85,2024-05-27,2024-01-25
INPP,44,320,1040,720,1160,550,2024-02-26,2024-01-25
NICE,44,192,630,438,1295,438,2024-03-19,2024-01-09
TINS,43,280,925,645,1095,520,2024-04-22,2024-03-01
WAPO,41,37,128,91,160,84,2024-03-20,2024-01-03
BBSS,41,32,111,79,150,60,2024-03-21,2024-02-06
MARK,40,245,855,610,1000,590,2024-05-13,2024-01-02
MANG,40,40,140,100,232,60,2024-04-24,2024-01-17
KING,40,42,147,105,186,106,2024-01-19,2024-01-02
PNLF,39,104,368,264,410,242,2024-05-28,2024-03-07
MASA,39,1490,5300,3810,5650,3350,2024-04-19,2024-02-06
MHKI,39,62,222,160,585,136,2024-05-03,2024-04-16
PBID,38,510,1835,1325,2020,1325,2024-05-20,2024-01-02
LIVE,38,56,204,148,208,145,2024-05-28,2024-03-13
KKGI,37,137,505,368,530,286,2024-05-28,2024-03-27
MTWI,36,27,101,74,114,67,2024-05-17,2024-02-20
SMIL,36,44,165,121,184,102,2024-03-15,2024-01-24
DAYA,36,104,392,288,430,252,2024-03-15,2024-01-10
NETV,36,21,80,59,88,31,2024-05-17,2024-04-02
SIDO,34,180,705,525,750,492,2024-04-25,2024-01-24
LAPD,33,2,8,6,10,5,2024-01-16,2024-03-25
BRIS,32,550,2290,1740,2960,1710,2024-03-14,2024-01-02
ARII,30,66,284,218,360,190,2024-03-05,2024-02-29
ALII,30,82,354,272,895,268,2024-02-23,2024-02-07
MAIN,30,155,670,515,695,470,2024-05-27,2024-01-09
MAYA,27,68,324,255,408,149,2024-03-25,2024-01-24
WINS,26,105,505,400,555,350,2024-05-03,2024-02-21
VAST,26,16,77,61,85,56,2024-04-24,2024-01-19
KLAS,26,22,106,84,113,63,2024-05-21,2024-02-21
BALI,26,215,1040,825,1550,790,2024-03-28,2024-01-03
CMRY,25,1015,5025,4010,5325,3600,2024-05-14,2024-01-31
AREA,24,32,163,131,186,96,2024-05-17,2024-04-03
SNLK,24,125,640,515,655,462,2024-05-28,2024-02-02
TOTL,23,88,464,376,525,374,2024-05-14,2024-01-02
ITMA,23,160,850,690,980,580,2024-04-02,2024-01-03
BBSI,23,840,4500,3660,4730,3330,2024-03-27,2024-01-29
BIKE,22,88,486,398,640,350,2024-04-01,2024-02-13
ELIT,22,19,105,86,126,81,2024-03-28,2024-04-23
MEDC,22,255,1410,1155,1635,1105,2024-04-16,2024-02-06
EXCL,22,440,2440,2000,2650,1985,2024-05-13,2024-01-02
TKIM,22,1600,8900,7300,8950,6125,2024-05-21,2024-02-01
IFII,22,33,186,153,199,142,2024-01-09,2024-01-04
DIGI,20,2,12,10,22,8,2024-01-30,2024-01-03
RCCC,20,24,144,120,187,112,2024-03-19,2024-02-05
TRGU,20,35,212,177,228,145,2024-02-19,2024-05-02
MBMA,20,110,670,560,730,476,2024-01-19,2024-03-21
LEAD,19,12,74,62,88,58,2024-05-07,2024-01-24
OPMS,19,10,62,52,74,50,2024-05-21,2024-03-26
TYRE,19,23,146,123,159,99,2024-05-20,2024-01-15
ARKO,18,130,835,705,1315,655,2024-03-04,2024-01-16
INCO,18,790,5100,4310,5200,3610,2024-05-20,2024-02-19
SGER,18,98,640,542,675,462,2024-01-30,2024-05-06
KMDS,18,76,500,424,510,412,2024-04-23,2024-01-24
ASBI,18,125,825,700,990,625,2024-05-08,2024-01-25
CASS,18,160,1060,900,1250,730,2024-05-06,2024-01-10
TALF,18,50,332,282,442,264,2024-04-22,2024-01-16
ADMF,17,1900,12850,10950,14300,10850,2024-04-02,2024-01-02
DSNG,17,95,650,555,715,490,2024-04-03,2024-02-15
MAHA,17,33,226,193,236,163,2024-05-27,2024-02-23
INDO,17,15,104,89,127,88,2024-05-13,2024-01-25
IKPM,17,34,236,202,332,202,2024-04-24,2024-01-02
RUNS,17,8,56,48,67,46,2024-03-27,2024-01-02
MTPS,17,2,14,12,18,5,2024-05-20,2024-03-28
CTTH,17,2,14,12,17,12,2024-02-02,2024-01-02
JPFA,17,195,1375,1180,1475,1055,2024-05-17,2024-01-24
CNTX,16,20,142,122,142,122,2024-04-30,2024-01-02
ULTJ,16,260,1860,1600,2070,1565,2024-05-07,2024-01-26
BSBK,16,8,59,51,64,46,2024-02-15,2024-03-25
WIFI,16,24,178,154,189,128,2024-05-20,2024-04-02
INKP,15,1275,9600,8325,10000,7600,2024-04-24,2024-01-23
MFMI,14,85,700,615,705,476,2024-05-17,2024-04-19
DEWI,14,8,67,59,81,57,2024-05-22,2024-01-02
PSGO,14,18,151,133,164,127,2024-03-05,2024-01-08
ADRO,13,310,2690,2380,2970,2320,2024-05-13,2024-01-23
HEXA,13,700,6075,5375,6400,5375,2024-03-22,2024-01-02
PADI,12,1,9,8,10,7,2024-03-22,2024-01-09
ACES,12,90,810,720,995,710,2024-04-25,2024-01-02
AGII,12,190,1710,1520,1835,1480,2024-04-22,2024-02-27
SILO,12,270,2450,2180,2720,1960,2024-05-07,2024-01-05
ISAT,12,1125,10500,9375,12250,9225,2024-02-29,2024-01-03
GOLD,12,34,320,286,410,270,2024-04-18,2024-02-12
IGAR,12,52,490,438,510,418,2024-05-17,2024-03-04
PANI,12,575,5475,4900,5975,4280,2024-02-15,2024-01-11
GDYR,11,165,1625,1460,1800,1170,2024-05-27,2024-04-23
KINO,11,135,1400,1265,1505,1075,2024-02-20,2024-02-12
NICK,10,26,274,248,296,242,2024-05-27,2024-01-04
HRTA,10,36,384,348,430,346,2024-04-16,2024-01-09
AMAG,10,30,320,290,366,282,2024-05-06,2024-01-26
MRAT,10,38,408,370,462,320,2024-05-13,2024-01-24
GJTL,10,105,1140,1035,1490,1000,2024-04-01,2024-02-05
TSPC,10,185,2020,1835,2200,1810,2024-01-18,2024-01-02
BOLT,10,70,805,735,1010,695,2024-04-18,2024-05-08
ADMR,9,125,1485,1360,1600,1260,2024-03-01,2024-01-09
CLPI,9,90,1075,985,1100,970,2024-05-13,2024-03-01
WICO,9,11,132,121,132,119,2024-05-03,2024-01-30
BISI,9,145,1745,1600,2200,1470,2024-03-27,2024-01-08
SBMA,9,14,172,158,193,123,2024-01-10,2024-04-01
KEJU,9,100,1255,1155,1390,1125,2024-04-24,2024-02-19
MGRO,9,60,765,705,845,500,2024-05-06,2024-02-16
MFIN,8,240,3160,2920,3220,2900,2024-03-13,2024-01-02
FILM,8,320,4280,3960,6250,3970,2024-02-01,2024-01-02
KUAS,8,4,54,50,60,50,2024-03-19,2024-01-02
KOCI,8,4,54,50,64,50,2024-03-25,2024-01-02
BNGA,8,135,1830,1695,2220,1695,2024-03-28,2024-01-02
MIKA,8,220,3070,2850,3180,2490,2024-05-15,2024-01-17
PGEO,8,90,1260,1170,1500,1075,2024-01-26,2024-04-02
MDKA,7,200,2900,2700,2930,2220,2024-04-17,2024-03-19
MMLP,7,22,320,298,350,258,2024-01-24,2024-04-25
NSSS,7,13,190,177,216,168,2024-04-24,2024-03-07
MYOH,7,125,1845,1720,2130,1655,2024-02-21,2024-01-03
ELSA,7,28,416,388,464,374,2024-05-20,2024-03-06
MSTI,7,100,1500,1400,1590,1085,2024-05-27,2024-03-20
AKRA,7,105,1580,1475,1865,1475,2024-04-16,2024-01-02
CITA,7,140,2250,2110,3500,1850,2024-01-18,2024-01-02
TGKA,7,425,6875,6450,7700,6150,2024-03-13,2024-01-23
MTDL,7,35,570,535,615,505,2024-04-01,2024-01-04
CUAN,6002,13205,13425,220,13750,240,2023-12-18,2023-03-08
CHIP,1319,2110,2270,160,2950,168,2023-11-30,2023-02-08
BREN,858,6695,7475,780,8200,975,2023-12-27,2023-10-09
PANI,416,3950,4900,950,6150,950,2023-12-12,2023-01-02
IBOS,323,278,364,86,494,77,2023-11-28,2023-01-11
AIMS,317,654,860,206,860,179,2023-12-29,2023-07-03
AMMN,286,4855,6550,1695,8350,1700,2023-11-30,2023-07-07
BEEF,276,182,248,66,290,50,2023-12-06,2023-02-10
UNIQ,266,157,216,59,264,54,2023-11-17,2023-04-11
WINE,226,291,420,129,795,147,2023-04-06,2023-01-10
SGER,216,370,542,171,781,95,2023-12-07,2023-04-26
AWAN,208,208,308,100,460,135,2023-06-12,2023-04-18
FMII,194,211,320,109,689,105,2023-06-27,2023-01-30
POLU,188,539,825,286,825,196,2023-09-26,2023-05-03
WIIM,182,1145,1775,630,3850,600,2023-10-31,2023-01-10
BDKR,160,320,520,200,620,204,2023-09-14,2023-03-03
RAAM,146,341,575,234,940,292,2023-06-13,2023-05-08
DRMA,143,835,1420,585,1815,565,2023-08-10,2023-01-05
KAYU,142,71,121,50,685,50,2023-11-30,2023-01-02
BUAH,138,1230,2120,890,2200,825,2023-12-14,2023-02-28
PDPP,132,222,390,168,406,153,2023-12-11,2023-01-24
GTBO,124,231,418,187,1025,106,2023-10-23,2023-03-17
CYBR,120,120,220,100,282,130,2023-08-11,2023-08-08
CASS,116,484,900,416,950,398,2023-12-29,2023-04-17
GTRA,116,174,324,150,380,164,2023-07-13,2023-08-11
IKBI,114,240,450,210,970,196,2023-08-08,2023-03-13
APLI,114,320,600,280,690,198,2023-08-22,2023-01-12
MAPA,113,435,820,385,890,341,2023-10-05,2023-01-27
FILM,107,2050,3960,1910,4020,610,2023-07-28,2023-03-27
TPIA,104,2680,5250,2570,6125,1995,2023-12-28,2023-09-06
MPXL,104,112,220,108,288,104,2023-10-19,2023-06-22
DSSA,101,40200,80000,39800,84000,33950,2023-12-14,2023-04-26
BIKE,99,198,398,200,450,188,2023-08-29,2023-01-10
META,97,117,238,121,322,105,2023-10-04,2023-03-17
HILL,92,1150,2400,1250,4000,1270,2023-05-10,2023-03-01
GJTL,85,475,1035,560,1415,540,2023-07-06,2023-01-11
ALKA,83,220,486,266,1015,266,2023-07-25,2023-01-02
MOLI,81,168,376,208,515,118,2023-09-06,2023-04-17
MASA,80,1690,3810,2120,6000,1985,2023-11-30,2023-01-31
MFIN,76,1265,2920,1655,3120,1605,2023-11-27,2023-02-07
BRPT,76,575,1330,755,1950,710,2023-12-08,2023-06-09
SILO,73,920,2180,1260,2740,1195,2023-11-30,2023-01-31
HRTA,72,146,348,202,580,202,2023-08-10,2023-01-02
JAWA,71,75,180,105,228,62,2023-10-16,2023-09-14
PTMP,68,82,202,120,224,68,2023-04-06,2023-06-08
HOKI,68,70,173,103,204,68,2023-12-01,2023-08-21
PUDP,66,233,585,352,1295,352,2023-06-07,2023-01-02
GMTD,65,937,2387,1450,2387,1450,2023-12-11,2023-01-02
TBMS,64,520,1330,810,1745,720,2023-12-22,2023-04-28
MAHA,64,75,193,118,306,159,2023-08-03,2023-07-25
JSMR,63,1890,4870,2980,4980,2980,2023-12-06,2023-01-02
CFIN,63,190,490,300,750,290,2023-07-26,2023-01-09
MTSM,63,99,256,157,580,146,2023-07-24,2023-03-09
AUTO,62,900,2360,1460,3620,1335,2023-08-10,2023-02-10
INPP,61,274,720,446,730,350,2023-12-18,2023-01-13
SAPX,61,450,1190,740,1345,560,2023-12-29,2023-12-12
IMAS,60,525,1395,870,3370,785,2023-05-12,2023-01-06
TIFA,60,244,650,406,650,370,2023-12-21,2023-08-30
SAMF,59,275,745,470,860,400,2023-06-13,2023-01-11
SSIA,58,160,434,274,545,252,2023-02-06,2023-01-11
NISP,58,435,1180,745,1320,720,2023-07-21,2023-01-05
VOKS,58,81,220,139,234,129,2023-04-10,2023-01-18
SAFE,58,128,350,222,364,140,2023-12-29,2023-09-20
EAST,57,54,149,95,184,93,2023-10-18,2023-01-02
NELY,57,176,486,310,680,292,2023-09-19,2023-01-05
ASPI,55,49,138,89,492,80,2023-10-18,2023-01-06
JSPT,54,455,1295,840,1310,785,2023-12-29,2023-02-08
RDTX,53,4950,14225,9275,17000,9200,2023-01-17,2023-01-05
MIDI,53,148,430,281,530,276,2023-10-11,2023-01-06
TPMA,53,243,705,462,790,374,2023-10-12,2023-03-16
AMIN,52,55,160,105,208,88,2023-12-14,2023-03-17
ISAT,52,3200,9375,6175,10850,5800,2023-10-12,2023-02-10
WEHA,52,57,167,110,192,100,2023-09-12,2023-01-11
INRU,52,340,1000,660,1250,600,2023-01-24,2023-01-06
KDSI,51,590,1740,1150,1780,1005,2023-11-28,2023-03-16
HUMI,51,51,151,100,312,92,2023-08-21,2023-08-09
IOTF,50,50,150,100,180,76,2023-12-08,2023-10-18
BAYU,49,490,1485,995,1750,830,2023-07-12,2023-05-15
GZCO,48,39,120,81,179,73,2023-12-11,2023-01-10
OBMD,45,84,270,186,318,140,2023-08-31,2023-04-17
ACES,45,224,720,496,890,426,2023-10-25,2023-01-19
SATU,45,31,100,69,138,50,2023-10-26,2023-04-11
NOBU,45,229,740,511,870,406,2023-11-30,2023-08-21
SKLT,45,87,282,195,682,178,2023-10-06,2023-03-17
HELI,44,124,404,280,406,70,2023-12-29,2023-11-10
SMMT,43,280,930,650,1305,580,2023-10-17,2023-01-10
BNGA,43,510,1695,1185,1815,1115,2023-08-11,2023-01-06
WOMF,41,106,364,258,500,248,2023-07-12,2023-01-06
NICK,40,71,248,177,302,147,2023-10-27,2023-01-12
JRPT,40,200,700,500,770,466,2023-11-03,2023-01-02
ROCK,40,108,380,272,380,214,2023-11-21,2023-04-05
PKPK,40,102,360,258,398,258,2023-08-03,2023-01-02
NSSS,39,50,177,127,240,114,2023-08-23,2023-10-31
MPRO,39,590,2100,1510,4750,1245,2023-08-04,2023-09-26
BEER,38,84,304,220,414,228,2023-03-29,2023-01-06
AMAR,38,88,320,232,350,198,2023-11-08,2023-01-10
TRON,37,66,246,180,482,190,2023-08-08,2023-03-08
DAYA,36,76,288,212,354,168,2023-11-08,2023-03-27
RAJA,35,365,1410,1045,1770,730,2023-12-19,2023-03-17
BRIS,35,450,1740,1290,1820,1265,2023-04-06,2023-01-02
ADES,35,2500,9675,7175,14125,6375,2023-07-27,2023-03-16
NICL,34,53,208,155,400,145,2023-03-21,2023-10-05
RICY,34,28,111,83,149,69,2023-10-18,2023-03-27
PGEO,34,295,1170,875,1680,595,2023-10-09,2023-04-11
ELPI,34,72,286,214,338,202,2023-11-10,2023-01-06
KAEF,33,362,1445,1083,1935,685,2023-12-20,2023-11-03
SUNI,33,100,400,300,530,260,2023-09-12,2023-06-26
PYFA,32,60,246,186,320,128,2023-12-04,2023-06-16
PJAA,32,230,950,720,1120,605,2023-10-12,2023-03-14
CAMP,31,96,402,306,434,292,2023-12-29,2023-03-16
TSPC,30,425,1835,1410,1930,1340,2023-07-07,2023-03-08
TRIM,30,68,294,226,294,181,2023-12-13,2023-05-26
CRAB,30,66,286,220,298,204,2023-11-22,2023-01-24
SMSM,30,460,1995,1535,2520,1420,2023-10-12,2023-02-15
PLIN,30,620,2700,2080,3900,1940,2023-09-27,2023-03-14
ASBI,30,160,700,540,705,430,2023-12-28,2023-03-16
SRSN,29,15,67,52,81,50,2023-11-30,2023-01-10
INDS,28,545,2490,1945,3750,1870,2023-08-28,2023-01-09
CLEO,28,155,710,555,795,440,2023-12-28,2023-02-14
ATIC,28,108,500,392,565,332,2023-12-29,2023-06-19
VICI,27,140,650,510,800,450,2023-08-21,2023-01-25
PTSN,27,52,244,192,274,179,2023-05-30,2023-03-15
BIRD,27,380,1790,1410,2430,1330,2023-08-09,2023-01-04
EDGE,26,1050,5050,4000,11550,3300,2023-11-24,2023-09-13
IPCC,25,145,715,570,865,530,2023-07-18,2023-01-05
BESS,25,42,212,170,224,124,2023-12-21,2023-10-18
TOTL,25,74,376,302,470,296,2023-05-11,2023-01-12
CTRA,24,230,1170,940,1195,865,2023-08-30,2023-01-06
ELSA,24,76,388,312,460,286,2023-10-30,2023-01-06
MAPI,24,345,1790,1445,2070,1195,2023-08-14,2023-01-10
PANR,24,120,624,504,840,447,2023-09-01,2023-01-10
FAPA,23,1000,5300,4300,5375,4260,2023-11-17,2023-01-03
