kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;m;cash;opcash;ph;ut;tcs
AALI;6575.0;6550.0;8425.0;0.08036;0.7309;0.04857;10.353516;635.05;0.5748002;11438.758;underperform;808300.0;7297.375;2089508012032.0;2538738024448.0;20745472180224.0;4005052022784.0;1085.634
ABBA;51.0;50.0;125.0;-0.1361;0.0;-16.64856;0;0.0;3.1242344;16.324;none;19937190.0;72.41;11090042880.0;91858345984.0;195025747968.0;200115437568.0;2.818
ABDA;5000.0;5000.0;6550.0;0.052210003;0.0;0.03687;0;0.0;2.098783;2382.333;none;40.0;5954.25;1983962808320.0;-2587311104.0;807727071232.0;0.0;3195.782
ABMM;3650.0;2630.0;4340.0;0.19939;0.22549999;0.55775;0;0.0;14313.726;0.255;none;1361370.0;3552.45;230671232.0;423133600.0;1550034432.0;1073361024.0;0.084
ACES;800.0;432.0;890.0;0.123330005;0.66550004;0.14116;18.49711;43.25;2.3436837;341.343;buy;32652710.0;751.625;2100083294208.0;1450457825280.0;7361332248576.0;871411744768.0;122.666
ACRO;116.0;74.0;191.0;0.30196;0.0;0.0;0;0.0;0.0;0.0;none;101532110.0;101.388885;43264847872.0;9842452480.0;47643316224.0;43665555456.0;15.589
ACST;138.0;117.0;262.0;-0.14606;0.0;-0.51851004;0;0.0;4.6725807;29.534;none;4653740.0;149.945;298673995776.0;168635006976.0;2349638090752.0;43341000704.0;23.564
ADCP;50.0;50.0;67.0;0.106359996;0.0;0.0325;0;0.0;0.44726318;111.791;none;1504940.0;55.535;19336065024.0;245691973632.0;459948785664.0;703994331136.0;0.87
ADES;10100.0;6375.0;14125.0;0.35187998;0.0;0.29338;0;0.0;3.6625707;2757.626;none;80410.0;10017.875;652318015488.0;449821999104.0;1462629957632.0;1440000000.0;1105.817
ADHI;292.0;280.0;535.0;0.05447;0.0;0.02422;1.2702832;229.87;0.29169226;1001.055;strong_buy;30253240.0;399.015;3180733661184.0;1765283725312.0;15864895111168.0;12007991410688.0;378.316
ADMF;13325.0;9625.0;14100.0;0.46463;0.4131;0.18388;0;0.0;1.199134;11112.186;none;289490.0;11135.5;1436496953344.0;-4052032946176.0;5987173924864.0;16205125517312.0;1436.497
ADMG;137.0;123.0;186.0;-0.12104;0.0;-0.12218001;0;0.0;3914.2856;0.035;none;184510.0;145.765;10218481.0;-8460797.0;103358984.0;0.0;0.003
ADMR;1500.0;740.0;1600.0;0.66722;0.0;0.54853;9.559011;156.92;62500.0;0.024;buy;27761770.0;1207.725;586422528.0;296585024.0;1085961984.0;423753024.0;0.014
ADRO;2670.0;2010.0;3160.0;0.35286;0.5505;0.2662;6.544278;407.99;12191.781;0.219;buy;43651340.0;2504.5;3359503104.0;1152758016.0;6517556224.0;1439256064.0;0.109
AEGS;100.0;43.0;133.0;0.05988;0.0;0.05815;0;0.0;0.0;0.0;none;58785930.0;77.201614;4507844608.0;295687936.0;27618754560.0;2886311424.0;7.439
AGAR;90.0;90.0;296.0;0.03314;0.0;-0.055370003;0;0.0;0.8356856;107.696;none;280.0;151.985;4907108864.0;-16465871872.0;570341261312.0;76461621248.0;4.907
AGII;1495.0;1435.0;2120.0;0.17559;0.1065;0.038540002;0;0.0;1.2211748;1224.231;none;120230.0;1712.65;446135009280.0;486656999424.0;2777700892672.0;3362370879488.0;145.479
