kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p;date
AALI;6650.0;6550.0;8425.0;0.08036;0.7309;0.04857;10.471617;635.05;0.5813568;11438.758;underperform;891890.0;1924690048.0;7293.5;6951.5;12799189188608.0;2089508012032.0;2538738024448.0;20745472180224.0;4005052022784.0;1085.634;5.333333333333333;2024-03-07 18:46:58
ABBA;52.0;50.0;124.0;-0.1361;0.0;-16.64856;0.0;0.0;3.185494;16.324;none;23439580.0;3935889920.0;72.19;52.1;204666273792.0;11090042880.0;91858345984.0;195025747968.0;200115437568.0;2.818;2.7027027027027026;2024-03-07 18:46:58
ABDA;5000.0;5000.0;6550.0;0.052210003;0.0;0.03687;0.0;0.0;2.098783;2382.333;none;40.0;35373600.0;5947.0;5484.0;3104034783232.0;1983962808320.0;-2587311104.0;807727071232.0;0.0;3195.782;0.0;2024-03-07 18:46:58
ABMM;3700.0;2630.0;4340.0;0.19939;0.22549999;0.55775;0.0;0.0;14509.804;0.255;none;1314980.0;2753169920.0;3556.55;3480.8;10186729193472.0;230671232.0;423133600.0;1550034432.0;1073361024.0;0.084;62.57309941520467;2024-03-07 18:46:58
ACES;820.0;432.0;890.0;0.123330005;0.66550004;0.14116;18.959538;43.25;2.4022758;341.343;buy;30713180.0;17120400384.0;752.35;795.2;14038728704000.0;2100083294208.0;1450457825280.0;7361332248576.0;871411744768.0;122.666;84.71615720524018;2024-03-07 18:46:58
ACRO;116.0;74.0;191.0;0.30196;0.0;0.0;0.0;0.0;0.0;0.0;none;102885170.0;3469139968.0;101.78378;101.78378;402420236288.0;43264847872.0;9842452480.0;47643316224.0;43665555456.0;15.589;35.8974358974359;2024-03-07 18:46:58
ACST;135.0;117.0;262.0;-0.14606;0.0;-0.51851004;0.0;0.0;4.571003;29.534;none;4647780.0;12675200000.0;150.0;136.44;1711152037888.0;298673995776.0;168635006976.0;2349638090752.0;43341000704.0;23.564;12.413793103448276;2024-03-07 18:46:58
ADCP;51.0;50.0;67.0;0.106359996;0.0;0.0325;0.0;0.0;0.45620847;111.791;none;992350.0;22222200832.0;55.49;50.34;1133332267008.0;19336065024.0;245691973632.0;459948785664.0;703994331136.0;0.87;5.88235294117647;2024-03-07 18:46:58
ADES;10000.0;6375.0;14125.0;0.35187998;0.0;0.29338;0.0;0.0;3.6263075;2757.626;none;81940.0;589897024.0;10027.125;9733.0;5898970333184.0;652318015488.0;449821999104.0;1462629957632.0;1440000000.0;1105.817;46.774193548387096;2024-03-07 18:46:58
ADHI;292.0;280.0;535.0;0.05447;0.0;0.02422;1.2702832;229.87;0.29169226;1001.055;strong_buy;28890740.0;8407609856.0;398.765;302.48;2455022075904.0;3180733661184.0;1765283725312.0;15864895111168.0;12007991410688.0;378.316;4.705882352941177;2024-03-07 18:46:58
ADMF;13350.0;9625.0;14100.0;0.46463;0.4131;0.18388;0.0;0.0;1.2013838;11112.186;none;263070.0;1000000000.0;11151.375;11769.0;13349999869952.0;1436496953344.0;-4052032946176.0;5987173924864.0;16205125517312.0;1436.497;83.24022346368714;2024-03-07 18:46:58
ADMG;136.0;123.0;186.0;-0.12104;0.0;-0.12218001;0.0;0.0;3885.7144;0.035;none;140490.0;3889179904.0;145.725;136.84;528928473088.0;10218481.0;-8460797.0;103358984.0;0.0;0.003;20.634920634920636;2024-03-07 18:46:58
ADMR;1470.0;740.0;1600.0;0.66517997;0.0;0.54853;9.323861;157.66;61250.0;0.024;buy;26466130.0;40882298880.0;1211.4;1407.5;60096977567744.0;586422528.0;296585024.0;1085961984.0;423753024.0;0.014;84.88372093023256;2024-03-07 18:46:58
ADRO;2700.0;2010.0;3160.0;0.35286;0.5505;0.2662;6.586651;409.92;12328.768;0.219;buy;49989780.0;30881200128.0;2507.4;2455.8;83379240304640.0;3359503104.0;1152758016.0;6517556224.0;1439256064.0;0.109;60.0;2024-03-07 18:46:58
