,Kode
0,BJTM
1,BKDP
2,BKSL
3,BKSW
4,BLTA
5,BLTZ
6,BWPT
7,BYAN
8,CANI
9,CASS
10,CEKA
11,CENT
12,CFIN
13,CINT
14,ELSA
15,ELTY
16,EMDE
17,EMTK
18,ENRG
19,EPMT
20,ERAA
21,ERTX
22,JPFA
23,JRPT
24,JSMR
25,JSPT
26,JTPE
27,KAEF
28,KARW
29,KBLI
30,KBLM
31,EAST
32,LIFE
33,FUJI
34,KOTA
35,INOV
36,ARKA
37,SMKL
38,LMPI
39,LMSH
40,LPCK
41,LPGI
42,LPIN
43,LPKR
44,LPLI
45,LPPF
46,NELY
47,NIKL
48,NIPS
49,NIRO
50,NISP
51,NOBU
52,NRCA
53,OCAP
54,OKAS
55,AALI
56,ABBA
57,ABDA
58,ABMM
59,ACES
60,ACST
61,ADES
62,ADHI
63,ADMF
64,ADMG
65,ADRO
66,AGII
67,AGRO
68,AGRS
69,AHAP
70,AIMS
71,AISA
72,AKKU
73,AKPI
74,AKRA
75,AKSI
76,ALDO
77,ALKA
78,ALMI
79,ALTO
80,AMAG
81,AMFG
82,AMIN
83,AMRT
84,ANJT
85,ANTM
86,APEX
87,APIC
88,APII
89,APLI
90,APLN
91,ARGO
92,ARII
93,ARNA
94,ARTA
95,ARTI
96,ARTO
97,ASBI
98,ASDM
99,ASGR
100,ASII
101,ASJT
102,ASMI
103,BAJA
104,BALI
105,BAPA
106,BATA
107,BAYU
108,BBCA
109,BBHI
110,BBKP
111,BBLD
112,BBMD
113,BBNI
114,BBRI
115,BBRM
116,BBTN
117,BBYB
118,BCAP
119,BCIC
120,BCIP
121,BDMN
122,BEKS
123,BEST
124,BFIN
125,BGTG
126,BHIT
127,BIKA
128,BIMA
129,BINA
130,BIPI
131,BIPP
132,BIRD
133,BISI
134,BJBR
135,BMAS
136,BMRI
137,BMSR
138,BMTR
139,BNBA
140,BNBR
141,BNGA
142,BNII
143,BNLI
144,BOLT
145,BPFI
146,BPII
147,BRAM
148,BRMS
149,BRNA
150,BRPT
151,BSDE
152,BSIM
153,BSSR
154,BSWD
155,BTEK
156,BTEL
157,BTON
158,BTPN
159,BUDI
160,BUKK
161,BULL
162,BUMI
163,BUVA
164,BVIC
165,CITA
166,CLPI
167,CMNP
168,CMPP
169,CNKO
170,CNTX
171,COWL
172,CPIN
173,CPRO
174,CSAP
175,CTBN
176,CTRA
177,CTTH
178,DART
179,DEFI
180,DEWA
181,DGIK
182,DILD
183,DKFT
184,DLTA
185,DMAS
186,DNAR
187,DNET
188,DOID
189,DPNS
190,DSFI
191,DSNG
192,DSSA
193,DUTI
194,DVLA
195,DYAN
196,ECII
197,EKAD
198,ESSA
199,ESTI
200,ETWA
201,EXCL
202,FAST
203,FASW
204,FISH
205,FMII
206,FORU
207,FPNI
208,FREN
209,GAMA
210,GDST
211,GDYR
212,GEMA
213,GEMS
214,GGRM
215,GIAA
216,GJTL
217,GLOB
218,GMTD
219,GOLD
220,GOLL
221,GPRA
222,GSMF
223,GTBO
224,GWSA
225,GZCO
226,HADE
227,HDFA
228,HDTX
229,HERO
230,HEXA
231,HITS
232,HMSP
233,HOME
234,HOTL
235,HRUM
236,IATA
237,IBFN
238,IBST
239,ICBP
240,ICON
241,IGAR
242,IIKP
243,IKAI
244,IKBI
245,IMAS
246,INDR
247,INDS
248,INDX
249,INDY
250,INKP
251,INPC
252,INPP
253,INRU
254,INTA
255,INTD
256,INTP
257,IPOL
258,ISAT
259,ISSP
260,ITMA
261,ITMG
262,JAWA
263,JECC
264,JIHD
265,JKON
266,JKSW
267,KBLV
268,KBRI
269,KDSI
270,KIAS
271,KICI
272,KIJA
273,KKGI
274,KLBF
275,KOBX
276,KOIN
277,KONI
278,KOPI
279,KPIG
280,KRAH
281,KRAS
282,KREN
283,LAPD
284,LCGP
285,LEAD
286,LINK
287,LION
288,LMAS
289,LPPS
290,LRNA
291,LSIP
292,LTLS
293,MAGP
294,MAIN
295,MAMI
296,MAPI
297,MASA
298,MAYA
299,MBAP
300,MBSS
301,MBTO
302,MCOR
303,MDIA
304,MDKA
305,MDLN
306,MDRN
307,MEDC
308,MEGA
309,MERK
310,META
311,MFIN
312,MFMI
313,MGNA
314,MICE
315,MIDI
316,MIKA
317,MIRA
318,MITI
319,MKPI
320,MLBI
321,MLIA
322,MLPL
323,MLPT
324,MMLP
325,MNCN
326,MPMX
327,MPPA
328,MRAT
329,MREI
330,MSKY
331,MTDL
332,MTFN
333,MTLA
334,MTSM
335,MYOH
336,MYOR
337,MYRX
338,MYTX
339,OMRE
340,PADI
341,PALM
342,PANR
