Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
PGJO;PT Tourindo Guide Indonesia Tbk;08-Jan-20;Technology;Online Applications & Services; 12.000 ; 306.250.000 ; 80 ;10%;58%;10%;-8%;-16%;40%;-75%;3%;71%;SURYA FAJAR SEKURITAS;MIRAWATI SENSI IDRIS;NASOETION & ATYANTO;;;;;;08-Jan-19;14-Jan-19;07-Feb-19;05-Jul-19;07-Jan-20;; 228 ; 378 ; 266 ; 153 ; 112 ; 84 ; 90 ;;;;2019;; 126.697.833.403 ; 125.011.739.582 ;  ;  ;  ;; 71.727.921.873 ; 54.073.836.078 ;  ;  ;  ;; 29.469.468.310 ; 26.651.984.081 ;  ;  ;  ;; 62.541.072 ; 329.802.081 ;  ;  ;  ;;
AMAR;PT Bank Amar Indonesia Tbk;09-Jan-20;Financials;Banks; 209.856 ; 7.954.749.000 ; 174 ;69%;268%;145%;140%;62%;18%;26%;0%;-86%;UOB KAY HIAN SEKURITAS (AI);IMELDA & PARTNERS;HISWARA, BUNJAMIN & TANDJUNG;;;;;;10-Jan-19;16-Jan-19;08-Feb-19;09-Jul-19;09-Jan-20;; 388 ; 282 ; 244 ; 268 ; 384 ; 80 ; 82 ;10-Apr-23;"5;8";;2019;; 564.697.027.435 ; 695.644.244.461 ;  ;  ;  ;; 335.009.925.656 ; 334.389.277.977 ;  ;  ;  ;; 895.932.528.293 ; 278.271.041.406 ;  ;  ;  ;; 30.830.750.626 ; 15.489.387.381 ;  ;  ;  ;;
CSRA;PT Cisadane Sawit Raya Tbk;09-Jan-20;Consumer Non-Cyclicals;Agricultural Products; 51.250 ; 2.050.000.000 ; 125 ;70%;180%;444%;84%;212%;2%;-9%;23%;148%;UOB KAY HIAN SEKURITAS (AI);JOHAN MALONDA MUSTIKA & PARTNERS;MAKES & PARTNERS LAW FIRM;;;;;;10-Jan-19;16-Jan-19;08-Feb-19;09-Jul-19;09-Jan-20;; 2.450 ; 1.440 ; 1.325 ; 1.055 ; 1.425 ; 745 ; 640 ;;;;2019;; 1.674.842.023.217 ; 2.179.251.755.950 ;  ;  ;  ;; 1.458.159.390.219 ; 1.284.701.219.759 ;  ;  ;  ;; 78.346.094.839 ; 82.134.463.864 ;  ;  ;  ;; 5.518.658.483 ; 20.425.737.693 ;  ;  ;  ;;
INDO;PT Royalindo Investa Wijaya Tbk;13-Jan-20;Properties & Real Estate;Real Estate Management & Development; 94.800 ; 4.309.100.000 ; 110 ;70%;74%;30%;7%;18%;2%;-98%;16%;-89%;BCA SEKURITAS (SQ);HERTANTO GRACE KARUNAWAN (MEMBER OF TIAG INTERNATIONAL);IRMA & SOLOMON LAW FIRM;;;;;;18-Jan-19;24-Jan-19;15-Feb-19;17-Jul-19;17-Jan-20;; 306 ; 740 ; 1.700 ; 3.600 ; 3.000 ; 282 ; 254 ;31-May-23;"5;7";;2019;; 608.492.004.703 ; 680.873.398.781 ;  ;  ;  ;; 488.445.412.243 ; 480.013.623.608 ;  ;  ;  ;; 40.400.849.641 ; 37.659.493.944 ;  ;  ;  ;;-11.890.715.217 ;-8.469.478.219 ;  ;  ;  ;;
AMOR;PT Ashmore Asset Management Indonesia Tbk;14-Jan-20;Financials;Investment Services; 211.111 ; 1.111.111.200 ; 1.900 ;50%;44%;24%;14%;66%;17%;59%;20%;25%;MANDIRI SEKURITAS (CC);SIDDHARTA WIDJAJA & PARTNERS;HADIPUTRANTO, HADINOTO & PARTNERS;;;;;;18-Jan-19;24-Jan-19;15-Feb-19;17-Jul-19;17-Jan-20;; 175 ; 342 ; 505 ; 755 ; 1.125 ; 456 ; 500 ;;;;2019;; 625.087.426.131 ; 807.357.128.569 ;  ;  ;  ;; 21.831.317.432 ; 3.332.313.333 ;  ;  ;  ;; 6.224.382.103 ; 7.257.428.070 ;  ;  ;  ;; 1.337.173.594 ; 768.706.537 ;  ;  ;  ;;
TRIN;PT Perintis Triniti Properti Tbk;15-Jan-20;Properties & Real Estate;Real Estate Management & Development; 129.767 ; 4.373.333.400 ; 200 ;70%;40%;21%;34%;7%;-19%;-41%;-98%;-79%;"ROYAL INVESTIUM SEKURITAS (LH); MIRAE ASSET SEKURITAS INDONESIA (YP)";MAURICE GANDA NAINGGOLAN & PARTNERS;ARY ZULFIKAR & PARTNERS LEGAL CONSULTANTS;;;;;;21-Feb-19;27-Feb-19;20-Mar-19;20-Aug-19;20-Feb-20;; 432 ; 640 ; 165 ; 103 ; 78 ; 126 ; 129 ;;;;2019;; 52.075.344.303 ; 92.455.778.213 ;  ;  ;  ;; 30.202.595.355 ; 29.295.647.148 ;  ;  ;  ;; 5.948.336.536 ; 12.148.493.308 ;  ;  ;  ;; 755.620.826 ;-1.912.617.883 ;  ;  ;  ;;
DMND;PT Diamond Food Indonesia Tbk;22-Jan-20;Consumer Non-Cyclicals;Food & Staples Retailing; 91.500 ; 9.468.359.000 ; 915 ;50%;17%;2%;5%;1%;2%;-55%;-12%;-44%;INDO PREMIER SEKURITAS (PD);SIDDHARTA WIDJAJA & REKAN (A MEMBER FIRM OF THE KPMG NETWORK OF INDEPENDENT MEMBER FIRMS AFFILIATED WITH KPMG INTERNATIONAL COOPERATIVE);WITARA CAKRA ADVOCATES;;;;;;20-Mar-19;26-Mar-19;18-Apr-19;19-Sep-19;19-Mar-20;; 336 ; 810 ; 905 ; 920 ; 835 ; 234 ; 236 ;;;;2019;; 162.749.739.566 ; 200.191.173.318 ;  ;  ;  ;; 112.533.274.136 ; 119.309.314.905 ;  ;  ;  ;; 18.884.628.578 ; 19.930.910.523 ;  ;  ;  ;; 1.057.951.460 ; 1.125.960.856 ;  ;  ;  ;;
PURA;PT Putra Rajawali Kencana Tbk;29-Jan-20;Transportation & Logistic;Logistics & Deliveries; 189.000 ; 5.301.463.280 ; 105 ;70%;87%;36%;22%;16%;104%;5%;8%;34%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO, & PARTNERS;ANDREAS, SHEILA AND PARTNERS;;;;;;10-Apr-19;16-Apr-19;09-May-19;09-Oct-19;09-Apr-20;; 480 ; 1.120 ; 755 ; 1.300 ; 392 ; 50 ; 50 ;03-Apr-23;3;;2019;; 258.591.270.921 ; 434.772.575.203 ;  ;  ;  ;; 112.747.516.801 ; 65.483.403.186 ;  ;  ;  ;; 22.104.798.074 ; 52.940.952.098 ;  ;  ;  ;; 4.441.240.583 ; 24.480.927.658 ;  ;  ;  ;;
