KodeInd;PERcount;PERmean;PERstd;PERmin;PER25%;PER50%;PER75%;PERmax;DERcount;DERmean;DERstd;DERmin;DER25%;DER50%;DER75%;DERmax
A111;6.0;3.3333333333333335;12.372011423639515;-19.0;1.25;5.0;11.75;15.0;6.0;1.4833333333333332;0.8035338615557323;0.1;1.275;1.55;1.975;2.4
A112;12.0;11.25;16.321346869555946;-6.0;-0.5;9.5;13.75;55.0;12.0;0.02499999999999994;5.968420683442602;-18.6;0.925;1.25;1.725;4.4
A121;22.0;4.136363636363637;12.151015848363713;-41.0;3.0;4.5;10.0;28.0;22.0;0.7;1.7598701250782278;-4.8;0.3;0.45;0.975;5.8
A122;16.0;26.1875;74.68084872754639;-2.0;4.0;6.0;14.0;305.0;16.0;0.625;1.840470954221591;-1.8;0.1;0.3;0.925;6.8
A131;2.0;-6.0;16.97056274847714;-18.0;-12.0;-6.0;0.0;6.0;2.0;2.0;1.131370849898476;1.2;1.5999999999999999;2.0;2.4;2.8
A132;14.0;-241.64285714285714;912.3554138047853;-3411.0;-9.0;7.5;14.25;18.0;14.0;0.9285714285714286;2.407497446736747;-5.1;0.125;0.65;1.5750000000000002;5.0
A211;2.0;6.5;9.192388155425117;0.0;3.25;6.5;9.75;13.0;2.0;1.25;0.21213203435596414;1.1;1.175;1.25;1.325;1.4
A221;1.0;-1.0;0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-3.1;0;-3.1;-3.1;-3.1;-3.1;-3.1
B111;18.0;2.9444444444444446;134.50452527800482;-485.0;4.25;11.0;19.75;242.0;18.0;1.0666666666666667;1.563179264116789;0.1;0.3;0.5;0.975;6.2
B112;2.0;-18.5;38.890872965260115;-46.0;-32.25;-18.5;-4.75;9.0;2.0;0.7;0.7071067811865475;0.2;0.45;0.7;0.95;1.2
B113;7.0;7.571428571428571;13.685237092784115;-20.0;7.0;8.0;13.0;25.0;7.0;0.3571428571428572;0.3207134902949092;0.1;0.15000000000000002;0.2;0.45;1.0
B121;10.0;22.2;56.34772991582418;-50.0;0.0;15.0;20.75;167.0;10.0;0.049999999999999975;2.2342038104583626;-5.3;0.025;0.4;0.775;3.5
B131;16.0;-5.1875;52.943011814591735;-161.0;-9.0;6.5;11.5;63.0;16.0;-7.231249999999999;32.88048496702363;-130.5;0.35000000000000003;0.8;1.325;2.8
B141;5.0;4.4;11.523888232710348;-5.0;-1.0;-1.0;5.0;24.0;5.0;0.34;4.2991859694598;-6.7;0.2;1.4;1.9;4.9
B142;1.0;12.0;0;12.0;12.0;12.0;12.0;12.0;1.0;1.2;0;1.2;1.2;1.2;1.2;1.2
B143;4.0;-27.75;75.22134005719387;-127.0;-55.0;-19.0;8.25;54.0;4.0;1.675;0.767571929311297;0.8;1.175;1.7000000000000002;2.2;2.5
B144;9.0;1.6666666666666667;8.88819441731559;-15.0;-4.0;5.0;8.0;12.0;9.0;1.3888888888888888;1.877128421582048;0.0;0.3;0.7;0.8;5.0
B146;10.0;8.3;27.817061111643138;-22.0;-8.25;8.5;9.75;79.0;10.0;10.98;30.892242823509374;0.1;0.25;0.7;2.125;98.8
B151;4.0;13.5;15.609825965290794;-1.0;2.0;11.0;22.5;33.0;4.0;0.975;2.5038303989421222;-1.4;-0.19999999999999996;0.4;1.575;4.5
B152;6.0;21.666666666666668;50.737231562893406;-3.0;-1.5;2.5;5.0;125.0;6.0;2.15;2.382225849914319;0.1;0.625;1.35;2.75;6.5
B153;3.0;-26.333333333333332;32.50128202599604;-59.0;-42.5;-26.0;-10.0;6.0;3.0;0.7333333333333334;0.6027713773341709;0.1;0.45;0.8;1.05;1.3
C121;12.0;-36.75;151.03167939812553;-514.0;-2.25;6.0;8.25;48.0;12.0;-1.4250000000000005;6.9851953834846;-23.3;0.375;0.4;0.575;3.3
C131;7.0;23.0;36.12016980395672;3.0;7.0;10.0;15.0;104.0;7.0;0.9285714285714286;1.0919619738713213;0.1;0.15000000000000002;0.5;1.3;3.0
C141;8.0;-1.0;26.704734732680965;-57.0;-4.75;2.0;9.75;31.0;8.0;1.625;2.3505318547086316;-2.2;0.625;1.4;2.45;5.9
C143;7.0;3.5714285714285716;21.639910218984603;-37.0;-5.0;9.0;19.0;25.0;7.0;3.1000000000000005;5.920304046246273;0.1;0.25;0.5;2.1500000000000004;16.3
C211;2.0;37.0;52.32590180780452;0.0;18.5;37.0;55.5;74.0;2.0;0.65;0.6363961030678928;0.2;0.42500000000000004;0.65;0.875;1.1
C221;1.0;10.0;0;10.0;10.0;10.0;10.0;10.0;1.0;0.7;0;0.7;0.7;0.7;0.7;0.7
C223;5.0;24.4;22.08619478316715;1.0;9.0;21.0;34.0;57.0;5.0;-0.13999999999999999;0.8876936408468858;-1.7;0.1;0.1;0.3;0.5
C224;4.0;6.25;8.73212459828649;-4.0;2.0;6.0;10.25;17.0;4.0;1.05;0.6137317546507324;0.5;0.575;0.95;1.425;1.8
C231;1.0;10.0;0;10.0;10.0;10.0;10.0;10.0;1.0;0.7;0;0.7;0.7;0.7;0.7;0.7
C232;1.0;-4.0;0;-4.0;-4.0;-4.0;-4.0;-4.0;1.0;0.4;0;0.4;0.4;0.4;0.4;0.4
C311;7.0;6.857142857142857;11.451762185046332;-8.0;3.5;5.0;7.0;30.0;7.0;2.1428571428571432;2.4405307775544394;0.3;0.8500000000000001;1.8;1.85;7.5
D111;3.0;1.0;13.076696830622021;-14.0;-3.5;7.0;8.5;10.0;3.0;40.76666666666667;66.39505503675204;0.5;2.45;4.4;60.900000000000006;117.4
D112;5.0;20.0;26.182054923172092;-2.0;7.0;8.0;23.0;64.0;5.0;4.98;9.965791488888376;0.3;0.3;0.5;1.0;22.8
D113;5.0;14.6;18.84940317357555;-9.0;-2.0;23.0;28.0;33.0;5.0;4.42;4.333820485437762;1.0;1.4;2.5;5.8;11.4
D211;2.0;14.0;1.4142135623730951;13.0;13.5;14.0;14.5;15.0;2.0;0.9500000000000001;0.9192388155425119;0.3;0.625;0.9500000000000001;1.2750000000000001;1.6
D212;3.0;13.666666666666666;18.0092568789868;-4.0;4.5;13.0;22.5;32.0;3.0;0.8666666666666667;0.9865765724632495;0.2;0.30000000000000004;0.4;1.2;2.0
D221;4.0;24.0;8.286535263104035;16.0;17.5;23.5;30.0;33.0;4.0;0.2;0.0;0.2;0.2;0.2;0.2;0.2
D222;25.0;9.04;68.46074300891961;-147.0;1.0;14.0;18.0;197.0;25.0;1.18;0.9755340417774598;0.1;0.7;0.9;1.2;4.5
D231;16.0;67.625;199.31445005317602;-13.0;-3.25;11.0;30.25;806.0;16.0;0.95625;0.6164076032410156;0.0;0.6499999999999999;0.8500000000000001;1.4249999999999998;2.1
D232;32.0;50.34375;145.49218122767664;-53.0;1.5;8.0;14.5;632.0;32.0;2.5343750000000003;6.885637664616626;-1.8;0.4;0.8500000000000001;1.5;38.6
D311;4.0;9.75;3.2015621187164243;7.0;7.0;9.5;12.25;13.0;4.0;0.6;0.282842712474619;0.4;0.4;0.5;0.7;1.0
D421;10.0;43.6;111.24767163605917;-72.0;-2.25;7.0;55.5;339.0;10.0;0.9099999999999999;0.7809538327512638;0.1;0.375;0.7;1.15;2.5
E111;8.0;6.375;4.68851179556401;0.0;4.5;6.0;9.5;13.0;8.0;1.0499999999999998;1.55195728954486;0.1;0.3;0.5;0.825;4.8
E112;4.0;14.5;13.723459233492601;6.0;7.5;8.5;15.5;35.0;4.0;0.8499999999999999;0.6350852961085883;0.3;0.3;0.85;1.4;1.4
E211;8.0;-3.5;15.501152030920615;-30.0;-13.75;-1.0;8.75;14.0;8.0;0.8;0.501426536422407;0.2;0.475;0.65;1.125;1.7
E212;1.0;-23.0;0;-23.0;-23.0;-23.0;-23.0;-23.0;1.0;1.1;0;1.1;1.1;1.1;1.1;1.1
E213;3.0;-2.0;9.16515138991168;-10.0;-7.0;-4.0;2.0;8.0;3.0;1.2666666666666668;1.1547005383792517;0.6;0.6;0.6;1.6;2.6
