KodeInd;ROA(%)count;ROA(%)mean;ROA(%)std;ROA(%)min;ROA(%)0,25;ROA(%)0,5;ROA(%)0,75;ROA(%)max;ROE(%)count;ROE(%)mean;ROE(%)std;ROE(%)min;ROE(%)0,25;ROE(%)0,5;ROE(%)0,75;ROE(%)max;NPM(%)count;NPM(%)mean;NPM(%)std;NPM(%)min;NPM(%)0,25;NPM(%)0,5;NPM(%)0,75;NPM(%)max
A111;06.00;-1.0;10.469.001.862.641.900;-16.0;-8.75;03.05;06.00;09.00;06.00;-6.0;28.156.704.352.604.900;-52.0;-21.0;07.00;0,510416667;19.00;06.00;-15.971.666.666.666.600;39.245.760.238.103.000;-9608.0;-32.5;12.00;22.00;23.00
A112;12.00;10.833.333.333.333.300;5.451.577.475.345.730;-8.0;-1.5;02.00;05.00;09.00;12.00;-0.5833333333333334;17.122.331.687.718.300;-33.0;-4.25;05.00;11.25;19.00;12.00;03.25;17.425.816.793.169.000;-31.0;-3.5;06.05;14.25;30.00.00
A121;22.00;15.05;2.111.589.335.976.460;-29.0;05.00;18.05;23.05;53.00.00;22.00;23.863.636.363.636.300;338.853.746.433.268;-62.0;08.05;24.05.00;39.00.00;98.00.00;22.00;12.818.181.818.181.800;383.699.241.887.586;-128.0;0,302083333;21.05;33.05.00;55.00.00
A122;16.00;56.875;1.572.140.260.918.210;-25.0;0,135416667;09.05;0,71875;23.00;16.00;118.125;19.044.574.905.556;-47.0;06.25;13.05;25.00.00;38.00.00;16.00;-3.75;10.547.953.988.017.400;-371.0;04.05;16.05;45.75;74.00.00
A131;02.00;02.00;4.242.640.687.119.280;-1.0;00.05;02.00;03.05;05.00;02.00;04.00;9.899.494.936.611.660;-3.0;00.05;04.00;07.05;11.00;02.00;01.00;70.710.678.118.654.700;-4.0;-1.5;01.00;03.05;06.00
A132;14.00;16.428.571.428.571.400;395.371.573.736.253;-5.0;-0.75;01.05;03.00;09.00;14.00;27.142.857.142.857.100;6.684.408.626.147.760;-11.0;-0.75;02.00;09.00;12.00;14.00;12.557.142.857.142.800;4.674.968.883.953.560;-37.0;-1.5;05.00;0,552083333;1749.00.00
A211;02.00;-7.5;16.263.455.967.290.500;-19.0;-13.25;-7.5;-1.75;04.00;02.00;-18.5;37.476.659.402.887.000;-45.0;-31.75;-18.5;-5.25;08.00;02.00;-19.0;4.242.640.687.119.280;-49.0;-34.0;-19.0;-4.0;11.00
A221;01.00;-9.0;;-9.0;-9.0;-9.0;-9.0;-9.0;01.00;00.00;;00.00;00.00;00.00;00.00;00.00;01.00;-1285643.0;;-1285643.0;-1285643.0;-1285643.0;-1285643.0;-1285643.0
B111;18.00;0.4444444444444444;9.500.601.976.111.650;-34.0;01.25;03.00;0,21875;07.00;18.00;-9.222.222.222.222.220;5.890.126.889.230.980;-244.0;01.05;04.05;0,302083333;14.00;18.00;-0.8333333333333334;21.102.690.098.936.700;-78.0;01.25;03.00;07.00;20.00
B112;02.00;07.05;12.020.815.280.171.300;-1.0;03.25;07.05;0,510416667;16.00;02.00;16.05;2.616.295.090.390.220;-2.0;07.25;16.05;25.75;35.00.00;02.00;-3.0;21.213.203.435.596.400;-18.0;-10.5;-3.0;04.05;12.00
B113;07.00;08.00;62.182.527.020.592.000;-1.0;04.05;06.00;12.05;17.00;07.00;10.142.857.142.857.100;7.819.389.819.088.000;-1.0;05.05;08.00;16.00;21.00;07.00;15.857.142.857.142.800;1.004.039.460.427.340;-1.0;11.05;17.00;22.00;28.00.00
B121;10.00;-0.3;8.124.722.217.473.720;-20.0;00.25;01.05;0,177083333;08.00;10.00;03.00;50.771.820.705.759.300;-8.0;0,052083333;03.00;0,260416667;11.00;10.00;-14.6;47.479.118.217.029.500;-109.0;00.05;05.00;09.00;17.00
B131;16.00;00.00;665.331.997.326.648;-13.0;-2.75;01.00;04.00;11.00;16.00;-1.125;13.185.218.997.043.600;-39.0;-1.0;01.05;06.00;13.00;16.00;-628.125;24.179.584.191.351.700;-968.0;-6.75;01.00;04.05;12.00
B141;05.00;-15.0;3.276.430.985.081.170;-71.0;-13.0;-8.0;08.00;09.00;05.00;-9.0;30.199.337.741.083;-48.0;-32.0;00.00;10.00;25.00.00;05.00;-1345.0;3.000.836.799.960.970;-6713.0;-20.0;-12.0;03.00;17.00
B142;01.00;04.00;;04.00;04.00;04.00;04.00;04.00;01.00;08.00;;08.00;08.00;08.00;08.00;08.00;01.00;01.00;;01.00;01.00;01.00;01.00;01.00
B143;04.00;-2.25;2.753.785.273.643.050;-5.0;-4.25;-2.5;-0.5;01.00;04.00;-6.25;1.004.572.877.727.970;-19.0;-11.5;-5.0;00.25;04.00;04.00;-237.25;45.350.808.519.069.700;-917.0;-255.5;-19.0;-0.75;06.00
