kode,c,min,max2m,max6m,max1y,p2m,p6m,p1y
AALI,6075,6050,6729,7125,8200,3,2,1
ABBA,30,27,39,60,104,23,8,3
ABDA,5000,5000,5000,5647,6450,100,0,0
ABMM,3920,2700,3800,3703,4340,100,100,74
ACES,855,535,893,799,995,89,100,69
ACRO,84,72,99,100,191,43,42,10
ACST,114,110,132,149,262,18,10,2
ADCP,50,50,50,53,65,0,0,0
ADES,10225,8075,9740,10182,14125,100,100,35
ADHI,224,220,281,366,535,6,2,1
ADMF,11775,10000,13203,11603,14300,55,100,41
ADMG,128,116,130,141,186,83,46,17
ADMR,1320,740,1384,1292,1600,89,100,67
ADRO,2950,2010,2656,2595,2990,100,100,95
AEGS,47,42,70,74,133,17,15,5
AGAR,97,86,91,125,282,100,27,5
AGII,1800,1435,1644,1663,2030,100,100,61
AGRO,248,216,268,297,422,60,39,15
AGRS,60,51,67,80,102,55,30,17
AHAP,104,51,121,99,188,75,100,38
AIMS,500,179,605,522,1365,75,93,27
AISA,120,105,126,132,184,71,55,18
AKKU,9,7,32,45,55,7,5,4
AKPI,600,535,678,765,1090,45,28,11
AKRA,1650,1255,1731,1530,1865,82,100,64
AKSI,124,120,133,156,268,28,11,2
ALDO,850,580,804,750,935,100,100,76
ALII,356,268,468,462,895,43,45,14
ALKA,362,330,411,540,1015,39,15,4
ALMI,71,60,97,177,300,29,9,4
ALTO,8,8,32,45,50,0,0,0
AMAG,292,280,307,315,390,43,34,10
AMAN,97,91,108,120,326,33,20,2
AMAR,252,197,250,287,350,100,60,35
AMFG,4850,4800,5672,5710,6650,5,5,2
AMIN,150,105,148,147,208,100,100,43
AMMN,9825,1700,8760,6570,10000,100,100,97
AMMS,23,19,28,37,58,43,21,10
AMOR,975,840,970,994,1500,100,87,20
AMRT,2830,2490,2843,2833,3030,96,99,62
ANDI,4,4,31,45,50,0,0,0
ANJT,675,650,714,741,1025,38,27,6
ANTM,1525,1405,1615,1715,2060,57,38,18
APEX,150,141,166,190,340,35,18,4
APIC,1105,910,1094,1129,1545,100,89,30
APII,181,174,185,189,218,59,45,15
APLI,595,292,565,540,690,100,100,76
APLN,112,107,115,132,175,60,19,7
ARCI,298,242,340,364,484,56,45,23
AREA,133,96,116,116,171,100,100,49
ARGO,970,450,962,828,1000,100,100,94
ARII,290,142,275,265,434,100,100,50
ARKA,8,8,32,45,50,0,0,0
ARKO,925,570,1027,793,1315,77,100,47
ARMY,50,50,50,50,50,100,100,100
ARNA,665,630,699,713,965,50,42,10
ARTA,2650,1415,2689,2269,3000,96,100,77
ARTI,3,2,3,25,50,72,4,2
ARTO,2250,1530,2496,2578,3860,74,68,30
ASBI,910,490,797,668,990,100,100,84
ASDM,472,440,486,483,555,68,74,27
ASGR,765,750,841,924,1125,16,8,4
ASHA,50,50,50,64,185,100,0,0
ASII,5075,4870,5168,5703,7000,68,24,9
ASJT,113,100,116,118,136,81,69,36
ASLC,96,76,104,100,131,69,82,36
ASLI,50,50,50,51,133,100,0,0
ASMI,11,7,32,46,82,15,10,5
ASPI,206,108,151,244,492,100,71,25
ASRI,128,127,148,165,202,4,2,1
ASRM,1550,1490,1554,1599,1705,93,55,27
ASSA,785,685,779,873,1420,100,53,13
ATAP,50,50,50,55,84,100,0,0
ATIC,368,332,380,372,565,73,88,15
ATLA,131,108,207,207,314,23,23,11
AUTO,1915,1915,2180,2598,3620,0,0,0
AVIA,505,422,548,545,760,65,67,24
AWAN,342,194,303,275,460,100,100,55
AXIO,196,107,204,183,252,91,100,61
AYAM,105,74,106,108,182,95,89,28
AYLS,50,50,50,56,102,100,0,0
BABP,50,50,50,63,102,0,0,0
BABY,93,81,134,188,332,22,11,4
BACA,130,129,130,130,154,92,71,4
BAIK,79,66,92,94,346,49,45,4
BAJA,95,72,104,134,222,70,36,15
BALI,1100,600,1157,949,1550,89,100,52
BANK,935,915,1007,1107,1480,21,10,3
BAPA,50,50,51,62,90,0,0,0
BAPI,50,50,50,50,50,100,100,100
BATA,71,71,98,188,740,0,0,0
BAUT,19,12,35,46,50,29,20,18
BAYU,1375,830,1342,1403,1750,100,95,59
BBCA,9525,8600,9857,9363,10400,73,100,51
BBHI,945,900,1095,1319,2230,23,10,3
BBKP,56,56,73,83,115,0,0,0
BBLD,575,482,560,662,1100,100,51,15
BBMD,1950,1680,1970,1933,2050,93,100,72
BBNI,4780,4312,5561,5221,6250,37,51,24
BBRI,4680,4570,5699,5540,6450,9,11,5
BBRM,61,51,66,67,92,66,59,24
BBSI,4520,2830,4560,3757,4730,97,100,88
BBSS,124,50,119,94,150,100,100,74
BBTN,1240,1180,1418,1304,1610,25,48,13
BBYB,234,208,260,324,600,49,22,6
BCAP,50,50,50,51,64,100,0,0
BCIC,96,93,105,122,173,23,10,3
BCIP,50,50,51,59,71,0,0,0
BDKR,525,260,518,513,620,100,100,73
BDMN,2640,2600,2842,2838,3320,16,16,5
BEBS,50,50,50,50,434,100,100,0
BEEF,228,59,253,195,332,86,100,61
BEER,260,220,263,296,352,93,52,30
BEKS,27,20,37,46,50,39,25,23
BELI,458,418,474,467,496,71,81,51
BELL,60,57,64,83,130,42,11,4
BESS,164,124,187,180,260,62,71,29
BEST,110,108,126,141,195,10,6,2
BFIN,1035,955,1231,1185,1535,28,34,13
BGTG,67,60,69,75,106,74,44,15
BHAT,400,366,414,494,760,70,26,8
BHIT,50,50,50,50,64,100,0,0
BIKA,50,27,49,59,95,100,71,33
BIKE,515,189,501,419,640,100,100,72
BIMA,78,70,83,92,165,58,34,8
BINA,4200,3610,4201,4097,4400,99,100,74
BINO,136,105,129,126,137,100,100,96
BIPI,82,59,82,101,148,97,54,25
BIPP,21,20,35,46,51,6,3,3
BIRD,1545,1500,1699,1898,2430,22,11,4
BISI,1770,1350,1850,1620,2200,83,100,49
BJBR,990,980,1157,1159,1250,5,5,3
BJTM,575,565,595,627,695,32,15,7
BKDP,50,50,50,52,88,0,0,0
BKSL,35,33,45,49,60,15,12,7
BKSW,60,51,65,78,109,61,33,15
BLTA,19,15,34,46,50,20,12,11
BLTZ,1790,1400,1918,2128,3900,75,53,15
BLUE,332,276,358,373,525,68,57,22
BMAS,525,484,524,635,1150,100,27,6
BMBL,7,6,13,23,61,13,5,1
BMHS,308,268,321,352,414,74,47,27
BMRI,6200,4950,6921,6282,7500,63,93,49
BMSR,358,244,360,343,565,98,100,35
BMTR,232,220,239,267,388,63,25,7
BNBA,585,486,632,749,1425,67,37,10
BNBR,50,50,50,50,73,0,0,0
BNGA,1835,1385,2006,1795,2220,72,100,53
BNII,226,222,252,256,312,13,11,4
BNLI,905,895,945,936,1005,19,24,9
BOBA,155,132,159,156,248,85,92,19
BOGA,920,630,1000,1147,1265,78,56,45
BOLA,98,74,108,155,244,69,29,14
BOLT,715,550,808,821,1060,63,60,32
BOSS,50,50,50,50,60,100,100,0
BPFI,376,300,371,419,500,100,63,38
BPII,555,550,10591,10446,10975,0,0,0
BPTR,83,50,65,88,145,100,84,34
BRAM,5775,5400,5719,6181,8200,100,48,13
BREN,9450,975,6629,5929,10200,100,100,91
BRIS,2300,1450,2601,1954,2960,73,100,56
BRMS,146,114,153,175,226,81,51,28
BRNA,790,675,869,929,1050,59,45,30
BRPT,980,710,976,1096,1950,100,69,21
BSBK,56,48,54,52,64,100,100,50
BSDE,935,870,969,1043,1235,65,37,17
BSIM,945,755,936,896,1050,100,100,64
BSML,140,107,166,174,302,55,49,16
BSSR,3760,3130,3721,3850,4480,100,87,46
BSWD,3100,1187,2658,1622,3100,100,100,100
BTEK,3,3,31,45,50,0,0,0
BTEL,50,50,50,50,50,100,100,100
BTON,418,324,406,414,494,100,100,55
BTPN,2430,2380,2547,2629,2810,29,20,11
BTPS,1220,1020,1260,1665,2350,83,30,15
BUAH,1145,1020,1537,1711,2200,24,18,10
BUDI,262,210,267,258,294,90,100,61
BUKA,124,114,143,195,268,33,12,6
BUKK,1000,875,1016,1110,1600,88,53,17
BULL,138,56,111,109,189,100,100,61
BUMI,100,76,89,107,186,100,76,21
