kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p
AALI;6725;5250;7600;0.0;0.6;0.0;11.8183565;569;0.6;11611;underperform;1443010;1924690048;6376;6545;12943540355072;4366554103808;4277931081728;21350198542336;3194365935616;2268;62
ABBA;29;19;78;-0.2;0.0;0.0;0;0;6.5;4;none;2053910;3935889920;34;34;114140807168;19358070784;-52071723008;207155249152;210155192320;4;16
ABDA;4060;4050;6000;0.1;0.0;0.1;0;0;1.7;2447;none;0;35373600;4795;4163;2520476286976;2034083823616;-49435820032;836200038400;0;3276;0
ABMM;3770;3210;5750;0.0;0.3;0.3;0;0;13181.8;0;none;3019160;2753169920;3816;4219;10379450122240;153976080;321670944;1303722880;1072058688;0;22
ACES;900;665;995;0.1;0.7;0.1;15.519917;57;2.5;358;buy;26583350;17120400384;839;842;15408360849408;2721823588352;1349771984896;8111680126976;903793999872;158;71
ACST;106;61;190;-0.1;0.0;-0.8;0;0;5.6;18;none;3267640;12675200000;119;116;1343571230720;343130996736;-19958999040;2648596021248;194999992320;27;34
ADES;11500;8725;12500;0.3;0.0;0.3;0;0;3.5;3329;none;102040;589897024;9993;10444;6783815909376;840517025792;455859994624;1661417029632;234000000;1424;73
ADHI;286;168;426;0.0;0.0;0.0;1.2441815;229;0.3;1032;strong_buy;26079580;8407609856;269;291;2404576395264;2195627573248;2383265398784;17785614761984;9338464763904;261;45
ADMF;10875;10400;14300;0.3;0.6;0.2;0;0;1.0;10898;none;63310;1000000000;12018;11199;10874999799808;3532930940928;-2190648016896;5905690132480;21717615378432;3532;12
ADMG;127;96;157;-0.0;0.0;-0.1;0;0;3968.7;0;none;290320;3889179904;124;129;493925859328;8015288;-3334999;99826960;0;0;50
ADRO;3790;2320;4050;0.3;0.5;0.2;8.057144;470;15469.4;0;buy;57483130;30758699008;2996;3701;116575470354432;3264846080;1900376064;5988136960;1440064000;0;84
AGII;1705;1435;1905;0.1;0.2;0.0;0;0;1.5;1149;none;60870;3066660096;1689;1759;5228655542272;462542995456;562822971392;2881286045696;3625663070208;144;57
AGRO;262;206;376;-0.4;0.0;0.0;137.89474;1;1.9;139;hold;61141020;24740499456;262;271;6482011095040;1575115161600;-799084707840;632066277376;1165836943360;63;32
AGRS;83;51;139;0.5;0.0;0.0;0;0;0.6;144;none;96752140;47367098368;70;76;3931469250560;1420474974208;-255292997632;601479970816;4569043042304;37;36
AHAP;100;67;188;0.0;0.0;0.1;0;0;2.3;44;none;17825370;4899999744;107;112;489999958016;16011872256;7179113472;284225601536;30398601216;3;27
AIMS;478;280;1365;-1.2;0.0;-1.8;0;0;109.4;4;none;5478930;220000000;521;493;105159999488;11347447;-1424261888;176250000;1183348608;0;18
AISA;130;98;184;0.1;0.0;0.1;0;0;1.2;110;none;4112010;135000000;124;130;494743617536;159054004224;188518006784;1843716947968;274501992448;17;37
AKKU;17;7;55;-0.3;0.0;-0.0;0;0;0.3;66;none;198380;6449460224;22;14;109640826880;5593585152;-1779925504;7839605248;84415578112;0;20
AKPI;660;500;875;0.0;0.0;-0.0;0;0;0.2;2698;none;323620;612248000;658;669;404083671040;41134669824;168444395520;2906039517184;1150985961472;67;42
AKRA;1350;1325;1865;0.1;1.0;0.2;8.492168;158;2.5;544;buy;22270650;19737200640;1587;1480;26645220032512;4653821460480;1655608573952;40721922916352;4992056426496;235;4
AKSI;520;100;790;-0.1;0.0;0.0;0;0;2.1;246;none;9100400;720000000;192;390;374399991808;91113373696;52210159616;458084483072;85996044288;126;60
ALDO;535;302;550;0.0;0.1;0.0;0;0;1.8;297;buy;487890;2700709888;416;446;1444879794176;89820856320;12481355776;1806145552384;596926398464;51;93
ALKA;390;262;800;-1.1;0.0;0.2;0;0;0.9;426;none;45000;107250000;380;385;197989351424;173425131520;-157274030080;196718182400;90000000;340;23
ALMI;74;52;300;-11653.7;0.0;-0.5;0;0;14800.0;0;none;267160;3816000000;89;73;282384007168;30859;7443443;29874964;19736000;0;8
ALTO;18;8;50;-0.6;0.0;-0.1;0;0;0.1;147;none;257640;2191869952;24;17;39453659136;3407027968;-13357524992;181191098368;575420170240;1;23
AMAG;352;280;392;0.3;0.7;0.1;0;0;1.0;360;none;97780;4951819776;321;354;1743040544768;970923507712;129460092928;1023324127232;0;196;64
AMFG;4730;4500;6150;0.1;0.1;0.1;0;0;0.5;9771;none;14190;434000000;5117;4713;2052820041728;63438000128;1157709955072;5624410144768;1130867064832;146;13
AMIN;144;130;208;0.1;0.0;0.1;0;0;0.9;160;none;51100;1080000000;150;148;155520008192;12362269696;-3498502912;356799414272;49099284480;11;17
AMRT;3240;2490;3650;0.0;0.3;0.2;26.660084;121;8.7;373;buy;28977540;41524498432;2885;3167;134539372396544;4200309981184;8463492055040;115137092517888;1892922949632;101;64
ANJT;745;615;825;0.2;0.0;0.0;0;0;7925.5;0;none;1572370;3354170112;705;709;2498856747008;9342275;39667232;227690640;158499136;0;61
ANTM;1520;1175;1845;0.1;1.3;0.0;11.334825;134;1.8;846;buy;108447310;24030799872;1480;1484;36526817804288;9634745155584;5935015133184;35301665800192;2118874038272;400;51
APEX;159;121;240;-0.0;0.0;-0.0;0;0;7227.3;0;none;5465200;3546469888;156;157;563888717824;12709559;3195816;71716920;128407288;0;31
APIC;1065;910;1545;-0.1;0.0;0.0;0;0;5.3;199;none;5838720;140024000;1102;1060;12531109199872;241309892608;275200376832;1802393092096;1626278854656;20;24
APII;176;168;204;0.1;0.0;0.1;0;0;0.5;364;none;24420;1075760000;181;178;189333766144;6878964224;25370617856;307761348608;143842951168;6;22
APLI;565;450;620;0.1;0.0;0.1;0;0;2.3;245;none;31380;1362669952;581;583;769908539392;107606220800;64127111168;441442172928;70967312384;78;67
APLN;120;78;143;0.2;0.0;-0.0;1.8963338;63;0.3;471;none;17351500;22699300864;115;127;2723916021760;1063137247232;-162235072512;3538078400512;6899701907456;46;64
ARGO;1060;650;2000;0.2;0.0;-0.0;0;0;25.0;42;none;21240;3174340096;1051;1245;3364800430080;8144945664;37079519232;102367305728;707789651968;2;30
ARII;254;190;432;0.1;0.0;-0.1;0;0;14111.1;0;none;323170;3431000064;272;306;871474003968;8353000;61044000;286793984;93365000;0;26
ARNA;765;560;800;0.2;0.8;0.2;7.2780895;105;3.1;245;buy;6152740;7115840000;683;704;5443617816576;267976736768;355233169408;2527736889344;112305348608;37;85
ARTA;2560;1900;3000;0.2;0.0;0.0;0;0;7.1;363;none;108240;446673984;2610;2545;1143485366272;35455672320;23887652864;102820118528;0;78;60
ARTI;2;1;50;-0.4;0.0;0.0;0;0;0.0;-23;none;0;1568000000;2;2;15680000000;438622688;-47165022208;70321217536;7638502912;0;2
ARTO;2800;1840;3860;0.1;0.0;0.0;102.48902;27;4.6;611;buy;6722520;13857000448;2680;2912;38799602089984;2299936899072;-2858134011904;1483319017472;549555994624;165;47
ASBI;900;560;990;-0.1;0.0;0.0;0;0;0.8;1165;none;10;348385984;832;900;313547390976;39089946624;5060517888;179833225216;1611198976;112;79
ASDM;498;440;620;0.2;0.6;0.1;0;0;0.5;964;none;36510;384000000;486;498;191232000000;147021742080;8782328832;218290962432;1663731968;382;32
ASGR;890;710;975;0.1;0.4;0.1;0;0;0.6;1406;none;1284790;1348780032;829;858;1200414261248;1404031991808;328903000064;2928977117184;34432000000;1040;67
ASII;5075;4290;5950;0.1;0.6;0.2;6.77742;748;1.0;5111;buy;61381590;40483598336;4949;5123;205454256898048;52021998649344;36387000680448;321981014605824;99192001265664;1285;47
ASJT;115;104;148;-0.2;0.0;-0.0;0;0;0.5;227;none;212630;1400000000;115;114;160999997440;111190204416;12594736128;127748235264;0;79;25
ASMI;14;6;65;-0.1;0.0;-0.1;0;0;0.3;41;none;3189480;8958380032;21;10;125417324544;282003079168;-41414881280;364842811392;3132453120;31;13
ASRI;204;124;268;0.3;0.0;0.0;12.515338;16;0.4;563;hold;72703510;19649400832;164;223;4008477720576;492682608640;682193846272;3993625690112;6213824675840;25;55
ASRM;378;350;412;0.0;0.3;0.1;0;0;0.7;573;none;21330;1217139968;382;376;460078907392;287785189376;-108842516480;1834209378304;13560228864;235;44
ASSA;745;610;1000;0.1;0.5;0.1;18.188477;40;1.4;537;buy;14564230;3691140096;755;750;2749899472896;898710831104;686270906368;4417630765056;4033024622592;243;34
ATIC;394;308;565;0.1;0.0;1.1;0;0;3.1;126;none;72750;2315360000;379;406;912251813888;552181891072;337367728128;10516932067328;1485647380480;238;33
AUTO;2480;1795;2850;0.1;0.4;0.2;5.8252883;425;0.8;2947;buy;6984370;4819729920;2177;2335;11952930684928;3727884025856;1202824019968;18730820042752;1619281969152;772;64
BABP;69;50;91;0.1;0.0;0.0;0;0;0.6;106;none;44536090;44458999808;57;71;3067670953984;3135983058944;-406180986880;602428014592;130858999808;70;46
BACA;131;130;140;0.2;0.0;0.0;0;0;0.5;265;none;6068890;19953000448;130;131;2613843066880;1189231984640;480296009728;886906028032;3080814067712;59;10
BAJA;101;72;143;-0.0;0.0;-0.1;0;0;2.0;49;none;681360;1800000000;105;102;181799993344;11772643328;-42763939840;788132855808;85717843968;6;40
BALI;885;600;1550;0.5;0.6;0.1;0;0;1.4;638;none;423580;3934589952;1009;840;3482112229376;261070913536;518460145664;984300781568;2914087600128;66;30
