date,text
2020-08-27T14:01:56,
2020-09-01T13:27:55,"['Berikut ini adalah saham-saham potensial untuk reversal erdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nACES\nReversal from 1-Month Low\nBuy at: 1565\nSL: < 1500\nTP:1645\nAlert Date: 2020-09-01\nAlert Time: 13:27:54\n\nSQMI\nReversal from 3-Month Low\nBuy at: 186\nSL: < 167\nTP:194\nAlert Date: 2020-09-01\nAlert Time: 13:27:54\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-01T13:37:02,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nINDR\nReversal from 1-Month Low\nBuy at: 2200\nSL: < 2120\nTP:2320\nAlert Date: 2020-09-01\nAlert Time: 13:37:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-01T13:46:02,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nGGRM\nReversal from 1-Month Low\nBuy at: 47525\nSL: < 45850\nTP:49925\nAlert Date: 2020-09-01\nAlert Time: 13:46:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-01T14:29:02,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nENVY\nReversal from 1-Month Low\nBuy at: 88\nSL: < 85\nTP:93\nAlert Date: 2020-09-01\nAlert Time: 14:29:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-01T14:46:02,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nBEEF\nReversal from YTD Low\nBuy at: 193\nSL: < 186\nTP:202\nAlert Date: 2020-09-01\nAlert Time: 14:46:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-02T09:00:04,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nBRPT\nReversal from 3-Month Low\nBuy at: 855\nSL: < 815\nTP:900\nAlert Date: 2020-09-02\nAlert Time: 09:00:02\n\nDMMX\nReversal from 1-Month Low\nBuy at: 196\nSL: < 189\nTP:205\nAlert Date: 2020-09-02\nAlert Time: 09:00:02\n\nIKAN\nReversal from 1-Month Low\nBuy at: 464\nSL: < 422\nTP:488\nAlert Date: 2020-09-02\nAlert Time: 09:00:02\n\nIPTV\nReversal from YTD Low\nBuy at: 298\nSL: < 288\nTP:314\nAlert Date: 2020-09-02\nAlert Time: 09:00:02\n\nNIKL\nReversal from 1-Month Low\nBuy at: 855\nSL: < 805\nTP:900\nAlert Date: 2020-09-02\nAlert Time: 09:00:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-02T09:22:02,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nWSBP\nReversal from 1-Month Low\nBuy at: 169\nSL: < 163\nTP:177\nAlert Date: 2020-09-02\nAlert Time: 09:22:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-02T10:43:02,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nROTI\nReversal from 1-Month Low\nBuy at: 1180\nSL: < 1135\nTP:1240\nAlert Date: 2020-09-02\nAlert Time: 10:43:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-09-03T09:00:06,"['Berikut ini adalah saham-saham potensial untuk reversal berdasarkan Statistic Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nMCAS\nReversal from 1-Month Low\nBuy at: 1775\nSL: < 1660\nTP:1865\nAlert Date: 2020-09-03\nAlert Time: 09:00:04\n\nSLIS\nReversal from 1-Month Low\nBuy at: 5150\nSL: < 4970\nTP:5425\nAlert Date: 2020-09-03\nAlert Time: 09:00:04\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
